CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,31,3,3,116,18,6,2,178,781,1,131,1,0,102,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1352,0,62,1414,2144
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,32,2,2,53,6,6,4,136,377,0,92,0,0,82,5,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,0,24,788,1270
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,33,3,3,25,9,4,8,347,614,2,120,10,0,68,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1212,0,43,1255,1834
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,34,1,1,6,2,1,1,39,83,0,31,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,3,189,278
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,35,2,2,75,10,11,8,67,430,1,163,1,1,83,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,868,0,30,898,1398
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,36,2,2,26,13,7,3,89,451,1,133,1,0,81,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,0,28,848,1290
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,37,2,2,43,6,5,5,35,501,0,122,2,0,50,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781,0,24,805,1259
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,38,3,3,51,26,6,6,165,507,1,118,3,0,104,8,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,0,24,1023,1958
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,39,2,2,71,34,10,4,115,326,2,86,3,0,71,4,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,0,14,749,1287
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,40,2,2,18,8,2,4,105,369,1,89,1,0,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,0,11,649,991
