CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,SEXO_CANDIDATO,RUTA_CONSTANCIA,PARTIDO
1,18,NAYARIT,,,2,AHUACATLAN,,,REG_RP,MC,1,DANIA LIZBETH RODRIGUEZ AHUMADA,2,,MC
1,18,NAYARIT,,,2,AHUACATLAN,,,REG_RP,MORENA,1,MARIA GUADALUPE AVILA LLAMAS,2,,MORENA
1,18,NAYARIT,,,3,AMATLAN DE CAÑAS,,,REG_RP,PVEM,1,HECTOR ABEL CURIEL CHAVEZ,1,,PVEM
1,18,NAYARIT,,,3,AMATLAN DE CAÑAS,,,REG_RP,RSPN,2,ERICA VELASQUEZ ,2,,RSPN
1,18,NAYARIT,,,4,BAHIA DE BANDERAS,,,REG_RP,PAN,1,JOSE FRANCISCO LOPEZ CASTAÑEDA,1,,PAN
1,18,NAYARIT,,,4,BAHIA DE BANDERAS,,,REG_RP,MC,1,CITLALLI RUBI HUERTA PEÑA,2,,MC
1,18,NAYARIT,,,4,BAHIA DE BANDERAS,,,REG_RP,MORENA,1,MONICA YESENIA ROBLES ARRIZON,2,,MORENA
1,18,NAYARIT,,,4,BAHIA DE BANDERAS,,,REG_RP,MORENA,3,MARIBEL RODRIGUEZ OROZCO,2,,MORENA
1,18,NAYARIT,,,5,COMPOSTELA,,,REG_RP,PAN,1,GUSTAVO RODRIGUEZ CARRILLO,1,,PAN
1,18,NAYARIT,,,5,COMPOSTELA,,,REG_RP,MC,2,ANA MINERVA MORALES MONTERO,2,,MC
1,18,NAYARIT,,,5,COMPOSTELA,,,REG_RP,MORENA,2,ROSARIO NAVA CAMPOS,2,,MORENA
1,18,NAYARIT,,,5,COMPOSTELA,,,REG_RP,MORENA,4,MARIA GUADALUPE GOMEZ BAÑUELOS,2,,MORENA
1,18,NAYARIT,,,6,HUAJICORI,,,REG_RP,MC,1,MARTHA BERENICE VALLES DE LA ROSA,2,,MC
1,18,NAYARIT,,,6,HUAJICORI,,,REG_RP,MORENA,1,YOLANDA CORONADO RANGEL,2,,MORENA
1,18,NAYARIT,,,7,IXTLAN DEL RIO,,,REG_RP,PAN,1,LIRIO DE MARIA CASAS LUGO,2,,PAN
1,18,NAYARIT,,,7,IXTLAN DEL RIO,,,REG_RP,PT,1,ENRIQUE RAFAEL BERUMEN VALDERRAMA,1,,PT
1,18,NAYARIT,,,7,IXTLAN DEL RIO,,,REG_RP,MORENA,1,MARISOL PEREZ BUSTAMANTE,2,,MORENA
1,18,NAYARIT,,,8,JALA,,,REG_RP,PAN,1,MA. PAULA DE LOURDES ACOSTA MONROY,2,,PAN
1,18,NAYARIT,,,8,JALA,,,REG_RP,MORENA,1,VICTORIA VENTURA LEDEZMA,2,,MORENA
1,18,NAYARIT,,,9,DEL NAYAR,,,REG_RP,PRI,2,MARIA DE LA LUZ ORTEGA MUÑOZ,2,,PRI
1,18,NAYARIT,,,9,DEL NAYAR,,,REG_RP,PVEM,2,LORENZA DE LA CRUZ DE LA CRUZ,2,,PVEM
1,18,NAYARIT,,,9,DEL NAYAR,,,REG_RP,MC,2,RUBI MARLEN MEDINA GONZALEZ,2,,MC
1,18,NAYARIT,,,10,ROSAMORADA,,,REG_RP,PRI,2,CONCEPCION FLORES ALMANZA,2,,PRI
1,18,NAYARIT,,,10,ROSAMORADA,,,REG_RP,MC,2,DALIA GUADALUPE BRIONES SANCHEZ,2,,MC
1,18,NAYARIT,,,10,ROSAMORADA,,,REG_RP,MORENA,2,ROSA MARTINA RAMOS GOMEZ,2,,MORENA
1,18,NAYARIT,,,11,RUIZ,,,REG_RP,MC,2,GRACIELA GUTIERREZ MEZA,2,,MC
1,18,NAYARIT,,,11,RUIZ,,,REG_RP,NAN,2,JUANA YURIDIA PERALES RAMIREZ,2,,NAN
1,18,NAYARIT,,,11,RUIZ,,,REG_RP,MLN,1,MARICELA PEÑA ALEMAN,2,,MLN
1,18,NAYARIT,,,12,SAN BLAS,,,REG_RP,PAN,1,JOSE ALEX ORTIZ RIOS,1,,PAN
1,18,NAYARIT,,,12,SAN BLAS,,,REG_RP,MORENA,1,ELVA CORONA CAZAREZ,2,,MORENA
1,18,NAYARIT,,,12,SAN BLAS,,,REG_RP,NAN,1,ESTEFANIA DEL ROSARIO LLANOS SANDOVAL,2,,NAN
1,18,NAYARIT,,,13,SAN PEDRO LAGUNILLAS,,,REG_RP,MORENA,1,OLGA LIDIA RUIZ GONZALEZ,2,,MORENA
1,18,NAYARIT,,,13,SAN PEDRO LAGUNILLAS,,,REG_RP,RSPN,1,ROSA AYLIN GONZALEZ FLORES,2,,RSPN
1,18,NAYARIT,,,14,SANTA MARIA DEL ORO,,,REG_RP,MC,1,YENEFER HERNANDEZ BERUMEN,2,,MC
1,18,NAYARIT,,,14,SANTA MARIA DEL ORO,,,REG_RP,MORENA,1,MARIA CRUZ ARTEAGA ARJONA,2,,MORENA
1,18,NAYARIT,,,14,SANTA MARIA DEL ORO,,,REG_RP,MLN,1,MARIA OFELIA ORTIZ NAVARRETE,2,,MLN
1,18,NAYARIT,,,15,SANTIAGO IXCUINTLA,,,REG_RP,MC,2,VICTORIA DEL ROCIO VAZQUEZ VILLELA,2,,MC
1,18,NAYARIT,,,15,SANTIAGO IXCUINTLA,,,REG_RP,MC,3,MAYRA REFUGIO MADERA PULIDO,2,,MC
1,18,NAYARIT,,,15,SANTIAGO IXCUINTLA,,,REG_RP,MORENA,1,MA ELENA BAÑUELOS HERNANDEZ,2,,MORENA
1,18,NAYARIT,,,15,SANTIAGO IXCUINTLA,,,REG_RP,MORENA,3,PRISCILA GABRIELA TARABAY HERNANDEZ,2,,MORENA
1,18,NAYARIT,,,16,TECUALA,,,REG_RP,MC,1,LAURA JOHANA HERNANDEZ LOPEZ,2,,MC
1,18,NAYARIT,,,16,TECUALA,,,REG_RP,MORENA,1,LAURA ANGELICA SICARI ZARAGOZA,2,,MORENA
1,18,NAYARIT,,,16,TECUALA,,,REG_RP,RSPN,1,BRENDA BERENICE CHOZA TORRES,2,,RSPN
