CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA_NL,ESO,LIBERAL,PESNL,JUSTICIALISTA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,19,NUEVO LEON,17,GRAL. ESCOBEDO,21,GRAL. ESCOBEDO,0,0,1,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7
2,19,NUEVO LEON,25,GRAL. ESCOBEDO,21,GRAL. ESCOBEDO,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4
2,19,NUEVO LEON,24,LINARES,24,GRAL. ZARAGOZA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2,19,NUEVO LEON,13,GUADALUPE,26,GUADALUPE,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,5
2,19,NUEVO LEON,14,GUADALUPE,26,GUADALUPE,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,4
2,19,NUEVO LEON,15,GUADALUPE,26,GUADALUPE,0,0,1,0,0,0,0,2,4,9,0,0,0,0,1,0,0,0,0,0,0,16,0,0,16,16
2,19,NUEVO LEON,4,SALINAS VICTORIA,28,HIDALGO,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2,19,NUEVO LEON,23,JUAREZ,32,JUAREZ,0,0,1,1,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,7,0,0,7,7
2,19,NUEVO LEON,24,LINARES,34,LINARES,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,6,6
2,19,NUEVO LEON,26,CADEREYTA JIMENEZ,39,MONTEMORELOS,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
2,19,NUEVO LEON,1,MONTERREY,40,MONTERREY,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
2,19,NUEVO LEON,2,MONTERREY,40,MONTERREY,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,6,13
2,19,NUEVO LEON,3,MONTERREY,40,MONTERREY,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,4,4
2,19,NUEVO LEON,6,MONTERREY,40,MONTERREY,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,6,17
2,19,NUEVO LEON,8,MONTERREY,40,MONTERREY,0,0,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,6,0,0,6,18
2,19,NUEVO LEON,11,PESQUERIA,43,LOS RAMONES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2,19,NUEVO LEON,21,CIENEGA DE FLORES,45,SABINAS HIDALGO,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
2,19,NUEVO LEON,9,SAN NICOLAS DE LOS GARZA,47,SAN NICOLAS DE LOS GARZA,0,0,1,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,2,12,12
2,19,NUEVO LEON,10,SAN NICOLAS DE LOS GARZA,47,SAN NICOLAS DE LOS GARZA,0,0,1,7,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,15
2,19,NUEVO LEON,19,SANTA CATARINA,48,SANTA CATARINA,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5
2,19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,48,SANTA CATARINA,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
2,19,NUEVO LEON,24,LINARES,49,SANTIAGO,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
2,19,NUEVO LEON,4,SALINAS VICTORIA,1,ABASOLO,1,2,2,104,2,3,5,48,518,178,1,0,1,0,0,6,4,0,0,0,0,870,0,14,884,1111
2,19,NUEVO LEON,4,SALINAS VICTORIA,1,ABASOLO,2,2,2,72,5,4,9,141,599,299,2,0,2,0,0,3,0,0,0,0,0,1136,0,29,1165,1485
2,19,NUEVO LEON,21,CIENEGA DE FLORES,2,AGUALEGUAS,3,2,2,329,5,1,4,0,326,10,0,0,0,0,0,6,2,2,0,2,0,687,0,35,722,935
2,19,NUEVO LEON,21,CIENEGA DE FLORES,2,AGUALEGUAS,4,1,1,199,3,0,2,0,157,2,0,0,0,0,0,3,0,0,0,0,0,366,0,12,378,528
2,19,NUEVO LEON,21,CIENEGA DE FLORES,2,AGUALEGUAS,5,1,1,243,5,1,1,0,236,7,1,0,0,0,0,4,6,2,1,0,0,507,0,16,523,689
2,19,NUEVO LEON,21,CIENEGA DE FLORES,2,AGUALEGUAS,6,1,1,197,4,1,2,0,213,4,1,0,0,0,0,5,2,1,0,0,0,430,0,13,443,649
2,19,NUEVO LEON,21,CIENEGA DE FLORES,2,AGUALEGUAS,7,1,1,52,1,1,0,0,105,3,0,0,0,0,0,0,1,0,0,0,0,163,0,4,167,286
2,19,NUEVO LEON,21,CIENEGA DE FLORES,2,AGUALEGUAS,8,1,1,146,1,0,1,0,120,2,0,0,0,0,0,0,1,1,0,0,0,272,0,11,283,430
2,19,NUEVO LEON,21,CIENEGA DE FLORES,2,AGUALEGUAS,9,1,1,136,0,0,1,0,133,2,0,0,0,0,0,1,0,0,0,0,0,273,0,7,280,427
2,19,NUEVO LEON,21,CIENEGA DE FLORES,2,AGUALEGUAS,10,1,1,159,1,0,0,0,131,3,0,0,0,0,0,2,6,0,0,0,0,302,0,12,314,418
2,19,NUEVO LEON,21,CIENEGA DE FLORES,2,AGUALEGUAS,11,1,1,70,1,0,0,0,88,2,0,0,0,0,0,3,3,0,0,0,0,167,0,2,169,221
2,19,NUEVO LEON,11,PESQUERIA,3,LOS ALDAMAS,12,1,1,89,37,2,2,0,126,1,0,0,0,0,0,9,8,0,0,0,0,274,0,8,282,423
2,19,NUEVO LEON,11,PESQUERIA,3,LOS ALDAMAS,13,1,1,84,57,3,12,0,170,3,0,0,0,0,0,6,13,0,0,1,0,349,0,15,364,540
2,19,NUEVO LEON,11,PESQUERIA,3,LOS ALDAMAS,15,1,1,172,9,0,2,0,29,6,0,0,0,0,0,8,7,0,0,1,0,234,0,9,243,365
