CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,C_PAN_PRI_PRD,C_MORENA_NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1735,1,1,0,0,0,27,25,47,0,0,129,178,406,0,10,416,620
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1736,2,2,0,0,0,34,29,76,0,0,129,246,514,0,24,538,786
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1737,2,2,0,0,0,28,29,84,0,0,165,221,527,0,20,547,803
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1738,1,1,0,0,0,24,34,78,0,0,124,225,485,0,19,504,703
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1739,1,1,0,0,0,25,19,69,0,0,115,177,405,2,12,419,622
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1740,1,1,0,0,0,30,22,57,0,0,131,215,455,0,21,476,718
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1741,2,2,0,0,0,45,33,71,0,0,149,258,556,4,27,587,841
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1742,2,2,0,0,0,16,30,67,0,0,101,286,500,0,22,522,829
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1743,1,1,0,0,0,26,18,70,0,0,134,185,433,1,17,451,643
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1744,2,2,0,0,0,33,39,76,0,0,208,278,634,0,35,669,954
4,13,HIDALGO,12,PACHUCA DE SOTO,40,MINERAL DE LA REFORMA,1746,1,1,0,0,0,26,31,64,0,0,71,213,405,1,20,426,678
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1798,3,3,0,0,0,50,50,78,0,0,152,520,850,0,71,921,1683
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1799,3,3,0,0,0,51,63,150,0,0,264,752,1280,0,62,1342,2032
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1800,4,4,0,0,0,61,63,106,0,0,148,673,1051,0,78,1129,2371
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1801,3,3,0,0,0,38,71,114,0,0,195,614,1032,1,59,1092,1807
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1831,4,4,0,0,0,113,97,233,0,0,354,826,1623,1,73,1697,2730
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1832,3,3,0,0,0,50,46,195,0,0,719,365,1375,0,30,1405,1977
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1833,2,2,0,0,0,32,33,85,0,0,70,388,608,0,46,654,1343
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1834,3,3,0,0,0,52,54,135,0,0,286,504,1031,0,41,1072,1841
4,13,HIDALGO,12,PACHUCA DE SOTO,47,PACHUCA DE SOTO,1835,4,4,0,0,0,105,62,203,0,0,310,742,1422,1,83,1506,2621
