CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAH,C_PAN_PRI_PRD,C_MORENA_NAH,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,340,C,3,0,C03,0,0,0,0,72,47,24,0,0,53,198,394,2,26,422,688,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,340,C,4,0,C04,0,0,0,0,69,36,36,0,0,85,177,403,0,29,432,688,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,341,B,1,0,B,0,0,0,0,63,17,21,0,0,41,180,322,1,24,347,530,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,341,C,1,0,C01,0,0,0,0,85,26,19,0,0,61,152,343,0,15,358,530,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,19,EL ARENAL,341,C,2,0,C02,0,0,0,0,74,30,29,0,0,39,142,314,0,24,338,530,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,700,B,1,0,B,0,0,0,0,23,11,23,0,0,111,105,273,3,9,285,393,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,700,C,1,0,C01,0,0,0,0,19,11,24,0,0,113,120,287,0,0,287,392,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,702,B,1,0,B,0,0,0,0,20,18,13,0,0,73,99,223,0,25,248,399,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,703,B,1,0,B,0,0,0,0,9,2,5,0,0,34,20,70,0,2,72,112,Grupo de recuento,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,704,B,1,0,B,0,0,0,0,23,20,27,0,0,131,135,336,0,29,365,555,Grupo de recuento,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,704,C,1,0,C01,0,0,0,0,12,22,27,0,0,136,137,334,0,26,360,555,Grupo de recuento,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,704,C,2,0,C02,0,0,0,0,22,9,18,0,0,139,160,348,0,26,374,555,Grupo de recuento,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,705,B,1,0,B,0,0,0,0,8,3,3,0,0,48,34,96,0,3,99,147,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,707,B,1,0,B,0,0,0,0,33,15,14,0,0,73,96,231,0,26,257,372,Grupo de recuento,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,708,B,1,0,B,0,0,0,0,24,15,14,0,0,149,148,350,0,30,380,513,Grupo de recuento,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,709,B,1,0,B,0,0,0,0,10,6,4,0,0,72,52,144,1,6,151,179,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,710,B,1,0,B,0,0,0,0,23,27,42,0,0,140,197,429,0,18,447,608,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,710,C,1,0,C01,0,0,0,0,18,24,39,0,0,120,197,398,0,18,416,607,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,710,C,2,0,C02,0,0,0,0,20,20,39,0,0,112,220,411,1,17,429,607,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,711,B,1,0,B,0,0,0,0,19,21,15,0,0,66,77,198,0,15,213,309,Grupo de recuento,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,712,B,1,0,B,0,0,0,0,38,31,31,0,0,123,197,420,0,24,444,662,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,38,MINERAL DEL CHICO,712,C,1,0,C01,0,0,0,0,30,17,34,0,0,97,221,399,0,22,421,661,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1008,B,1,0,B,0,0,0,0,29,50,108,0,0,50,199,436,1,23,460,673,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1008,C,1,0,C01,0,0,0,0,31,54,131,0,0,38,207,461,0,23,484,673,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1008,C,2,0,C02,0,0,0,0,33,49,115,0,0,56,203,456,0,19,475,673,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1008,C,3,0,C03,0,0,0,0,26,53,103,0,0,44,211,437,1,17,455,672,Acta casilla,,,
4,13,HIDALGO,8,ACTOPAN,51,SAN AGUSTIN TLAXIACA,1009,B,1,0,B,0,0,0,0,36,37,111,0,0,55,177,416,0,14,430,651,Acta casilla,,,
