CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
2,19,NUEVO LEON,,,9,CADEREYTA JIMENEZ,,,PRES_MUN,MC,1,CARLOS RAFAEL RODRIGUEZ GOMEZ,1,,,MC
2,19,NUEVO LEON,,,9,CADEREYTA JIMENEZ,,,REG_MR,MC,1,MARIA ISABEL CAVAZOS TAMEZ,2,,,MC
2,19,NUEVO LEON,,,9,CADEREYTA JIMENEZ,,,REG_MR,MC,2,ARSENIO TAMEZ GARZA,1,,,MC
2,19,NUEVO LEON,,,9,CADEREYTA JIMENEZ,,,REG_MR,MC,3,NORMA LETICIA FUENTES GARZA,2,,,MC
2,19,NUEVO LEON,,,9,CADEREYTA JIMENEZ,,,REG_MR,MC,4,VENTURA GARCIA VERASTEGUI,1,,,MC
2,19,NUEVO LEON,,,9,CADEREYTA JIMENEZ,,,REG_MR,MC,5,YESENIA ELIZABETH LEAL TAMEZ,2,CANDIDATURAS DE PERSONAS JOVENES,,MC
2,19,NUEVO LEON,,,9,CADEREYTA JIMENEZ,,,REG_MR,MC,6,PEDRO LOYA PARADA,1,,,MC
2,19,NUEVO LEON,,,9,CADEREYTA JIMENEZ,,,REG_MR,MC,7,JOVANA GARCIA MARTINEZ,2,CANDIDATURAS INDIGENAS,,MC
2,19,NUEVO LEON,,,9,CADEREYTA JIMENEZ,,,REG_MR,MC,8,OSCAR TADEO CARDENAS DE LEON,1,CANDIDATURAS DE PERSONAS JOVENES,,MC
2,19,NUEVO LEON,,,9,CADEREYTA JIMENEZ,,,SIND_MR,MC,1,PATRICIA GONZALEZ ALVAREZ,2,,,MC
2,19,NUEVO LEON,,,9,CADEREYTA JIMENEZ,,,SIND_MR,MC,2,ADOLFO GONZALEZ ROSALES,1,CANDIDATURAS DE PERSONAS JOVENES,,MC
2,19,NUEVO LEON,,,10,EL CARMEN,,,PRES_MUN,MC,1,GERARDO ALFONSO DE LA MAZA VILLARREAL,1,,,MC
2,19,NUEVO LEON,,,10,EL CARMEN,,,REG_MR,MC,1,JUANA DE LA CRUZ GONZALEZ VILLARREAL,2,,,MC
2,19,NUEVO LEON,,,10,EL CARMEN,,,REG_MR,MC,2,EDUARDO ALONSO RODRIGUEZ,1,,,MC
2,19,NUEVO LEON,,,10,EL CARMEN,,,REG_MR,MC,3,ELVIA NELLY REYES MONTEMAYOR,2,,,MC
2,19,NUEVO LEON,,,10,EL CARMEN,,,REG_MR,MC,4,ROBERTO HERNANDEZ FLORES,1,,,MC
2,19,NUEVO LEON,,,10,EL CARMEN,,,REG_MR,MC,5,WENDY CISNEROS GONZALEZ,2,CANDIDATURAS DE PERSONAS JOVENES,,MC
2,19,NUEVO LEON,,,10,EL CARMEN,,,REG_MR,MC,6,GERARDO GARZA CASTILLO,1,,,MC
2,19,NUEVO LEON,,,10,EL CARMEN,,,REG_MR,MC,7,SOFIA PATRICIA GONZALEZ DELGADO,2,,,MC
2,19,NUEVO LEON,,,10,EL CARMEN,,,REG_MR,MC,8,WENCESLAO MONTEMAYOR CASTREJON,1,,,MC
2,19,NUEVO LEON,,,10,EL CARMEN,,,SIND_MR,MC,1,MIGUEL ANGEL ELIZONDO VILLARREAL,1,,,MC
2,19,NUEVO LEON,,,10,EL CARMEN,,,SIND_MR,MC,2,MARIBEL SERNA MARTINEZ,2,,,MC
2,19,NUEVO LEON,,,11,CERRALVO,,,PRES_MUN,MC,1,BALTAZAR MARTINEZ MONTEMAYOR,1,,,MC
2,19,NUEVO LEON,,,11,CERRALVO,,,REG_MR,MC,1,DORANELIA RODRIGUEZ TALIP,2,,,MC
2,19,NUEVO LEON,,,11,CERRALVO,,,REG_MR,MC,2,ALFREDO SALINAS PEÑA,1,CANDIDATURAS DE PERSONAS JOVENES,,MC
2,19,NUEVO LEON,,,11,CERRALVO,,,REG_MR,MC,3,ELSA ELIA CARLOS MENDEZ,2,,,MC
2,19,NUEVO LEON,,,11,CERRALVO,,,REG_MR,MC,4,ESTEBAN MORAN RUIZ,1,CANDIDATURAS DE PERSONAS JOVENES,,MC
2,19,NUEVO LEON,,,11,CERRALVO,,,SIND_MR,MC,1,BLANCA FANNY RODRIGUEZ VELA,2,,,MC
2,19,NUEVO LEON,,,12,CIENEGA DE FLORES,,,PRES_MUN,PVEM_MORENA,1,MIGUEL ANGEL QUIROGA TREVIÑO,1,CANDIDATURAS DE PERSONAS JOVENES,,PVEM
2,19,NUEVO LEON,,,12,CIENEGA DE FLORES,,,REG_MR,PVEM_MORENA,1,CYNTHIA IVETTE CANTU MANIFACIO,2,,,PVEM
