CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1291,C,1,0,C01,0,14,16,5,0,0,36,0,0,0,53,1,0,0,0,0,201,0,0,0,0,0,0,326,0,13,339,723,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1291,C,2,0,C02,0,8,18,4,0,0,34,0,0,0,40,0,1,0,0,0,233,0,0,0,0,0,0,338,0,25,363,722,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1291,C,3,0,C03,0,7,18,4,0,0,49,0,0,0,48,2,0,0,0,0,244,0,0,0,0,0,0,372,0,17,389,722,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1292,B,1,0,B,0,6,13,2,0,0,35,0,0,0,15,1,1,0,0,0,175,0,0,0,0,0,0,248,0,9,257,474,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1292,C,1,0,C01,0,3,16,3,0,0,37,0,0,0,8,0,0,0,0,0,143,0,0,0,0,0,0,210,0,20,230,474,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1292,E,1,0,E01,0,2,14,6,0,0,10,0,0,0,12,2,1,1,0,0,373,0,0,0,0,0,0,421,0,12,433,738,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1293,B,1,0,B,0,5,24,7,0,0,32,0,0,0,12,0,0,0,0,0,164,0,0,0,0,0,0,244,0,14,258,473,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1293,C,1,0,C01,0,11,40,4,0,0,27,0,0,0,16,2,0,1,0,0,147,0,0,0,0,0,0,248,0,14,262,473,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1293,E,1,0,E01,0,6,21,4,0,0,21,0,0,0,3,2,0,0,0,0,227,0,0,0,0,0,0,284,0,9,293,626,GRUPO DE RECUENTO,,,
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1294,B,1,0,B,0,3,9,1,0,0,40,0,0,0,10,0,0,0,0,0,196,0,0,0,0,0,0,259,0,13,272,460,GRUPO DE RECUENTO,,,
