CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,5,NOGALES,30,NOGALES,200,2,2,116,42,3,,,92,,,,19,11,5,1,0,,232,47,,,,,,568,1,6,575,1266
1,26,SONORA,5,NOGALES,30,NOGALES,201,2,2,75,42,7,,,78,,,,17,3,1,2,0,,329,68,,,,,,622,0,19,641,1500
1,26,SONORA,5,NOGALES,30,NOGALES,202,2,2,79,31,6,,,75,,,,17,9,4,0,0,,248,72,,,,,,541,0,11,552,1307
1,26,SONORA,5,NOGALES,30,NOGALES,203,1,1,37,12,3,,,42,,,,4,7,0,0,0,,126,51,,,,,,282,0,11,293,664
1,26,SONORA,5,NOGALES,30,NOGALES,204,2,2,35,34,2,,,54,,,,14,2,0,1,0,,306,73,,,,,,521,0,21,542,1353
1,26,SONORA,5,NOGALES,30,NOGALES,205,6,6,142,74,18,,,161,,,,30,8,8,2,0,,869,243,,,,,,1555,0,61,1616,4340
1,26,SONORA,5,NOGALES,30,NOGALES,206,6,6,104,45,11,,,119,,,,15,8,1,2,0,,741,236,,,,,,1282,3,26,1311,4170
1,26,SONORA,5,NOGALES,30,NOGALES,207,5,5,129,49,8,,,113,,,,25,8,5,0,1,,568,261,,,,,,1167,0,44,1211,3331
1,26,SONORA,5,NOGALES,30,NOGALES,208,2,2,61,31,6,,,58,,,,10,9,4,0,0,,277,79,,,,,,535,1,26,562,1366
1,26,SONORA,5,NOGALES,30,NOGALES,209,3,3,89,32,8,,,67,,,,12,6,3,1,0,,294,120,,,,,,632,2,27,661,1562
1,26,SONORA,5,NOGALES,30,NOGALES,210,3,3,84,28,9,,,88,,,,18,6,3,1,0,,397,116,,,,,,750,0,34,784,1896
1,26,SONORA,5,NOGALES,30,NOGALES,211,2,2,77,52,2,,,73,,,,11,1,2,1,0,,237,96,,,,,,552,0,25,577,1478
1,26,SONORA,5,NOGALES,30,NOGALES,212,2,2,142,72,5,,,147,,,,11,16,2,1,0,,200,49,,,,,,645,0,11,656,1376
1,26,SONORA,5,NOGALES,30,NOGALES,213,2,2,50,31,2,,,72,,,,8,6,2,0,0,,210,70,,,,,,451,0,13,464,1124
1,26,SONORA,5,NOGALES,30,NOGALES,218,3,3,300,148,7,,,223,,,,18,30,5,2,0,,279,58,,,,,,1070,0,5,1075,1971
