ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,50,MAZATAN,1,3,3,62,4,1,95,69,365,155,56,55,421,,,,,,,1283,0,26,1309,1517,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_MAZATAN.pdf
26,SONORA,26,MOCTEZUMA,4,9,9,1109,524,123,319,232,16,522,188,188,40,,,,,,,3261,2,60,3323,4671,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_MOCTEZUMA.pdf
26,SONORA,27,NACO,4,10,10,1558,253,5,208,,1302,,,,,,,,,,,3326,5,50,3381,4928,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NACO.pdf
26,SONORA,28,NACORI CHICO,2,4,4,34,194,8,121,88,327,199,71,71,1,,,,,,,1114,0,27,1141,1483,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NACORI%20CHICO.pdf
26,SONORA,29,NACOZARI DE GARCIA,10,19,19,180,91,38,591,430,,969,349,349,,,,,3606,,,6603,2,156,6761,10432,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NACOZARI%20DE%20GARCIA.pdf
26,SONORA,65,NAVOJOA,78,216,218,3475,5166,1121,9900,7199,7516,16199,5849,5849,2347,,,,,,,64621,33,1810,66464,128238,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NAVOJOA.pdf
26,SONORA,30,NOGALES,142,353,355,9434,4420,1012,9289,6755,9355,15199,5488,5488,2093,15267,,,,,,83800,44,2163,86007,216091,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NOGALES.pdf
26,SONORA,66,ONAVAS,1,2,2,0,1,0,47,33,262,76,27,27,243,,,,,,,716,0,15,731,869,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_ONAVAS.pdf
26,SONORA,51,OPODEPE,5,6,6,401,187,26,167,120,94,272,98,98,8,,,,,,,1471,1,32,1504,2175,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_OPODEPE.pdf
26,SONORA,31,OQUITOA,1,1,1,0,89,0,3,1,,4,1,1,245,,,,,,,344,0,9,353,446,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_OQUITOA.pdf
26,SONORA,52,PITIQUITO,6,14,15,290,669,44,300,217,1041,491,177,177,615,,,,,,,4021,0,94,4115,6422,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_PITIQUITO.pdf
26,SONORA,53,PUERTO PEÑASCO,27,86,87,5954,2588,524,2144,1560,7026,3508,1266,1266,332,,,,,,,26168,4,626,26798,54997,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_PUERTO%20PEÑASCO.pdf
26,SONORA,67,QUIRIEGO,3,6,6,6,8,5,205,149,720,335,120,120,1040,,,,,,,2708,0,71,2779,3511,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_QUIRIEGO.pdf
