ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,48,LA COLORADA,5,6,6,66,791,20,,,899,,,,301,39,3,1,1,,77,,,,,,,2198,0,79,2277,2704,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_LA%20COLORADA.pdf
26,SONORA,25,MAGDALENA,15,44,45,5482,1180,195,,,134,,,,,424,98,20,8,,1905,,,3931,,,,13377,0,403,13780,26227,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_MAGDALENA.pdf
26,SONORA,50,MAZATAN,1,3,3,60,2,1,,,365,,,,421,0,4,0,0,,430,,,,,,,1283,0,26,1309,1517,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_MAZATAN.pdf
26,SONORA,26,MOCTEZUMA,4,9,9,983,400,29,,,16,,,,40,271,64,6,3,,1449,,,,,,,3261,2,60,3323,4671,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_MOCTEZUMA.pdf
26,SONORA,27,NACO,4,10,10,1558,253,5,208,,1302,,,,,,,,,,,,,,,,,3326,5,50,3381,4928,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NACO.pdf
26,SONORA,28,NACORI CHICO,2,4,4,23,182,2,,,327,,,,1,18,9,1,1,,550,,,,,,,1114,0,27,1141,1483,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NACORI%20CHICO.pdf
26,SONORA,29,NACOZARI DE GARCIA,10,19,19,173,85,34,,,,,,,,10,4,2,1,,2688,,,,3606,,,6603,2,156,6761,10432,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NACOZARI%20DE%20GARCIA.pdf
26,SONORA,65,NAVOJOA,78,216,218,3302,4999,985,,,7516,,,,2347,346,87,29,14,,44996,,,,,,,64621,33,1810,66464,128238,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NAVOJOA.pdf
26,SONORA,30,NOGALES,142,353,355,9036,4040,722,,,9355,,,,2093,793,222,43,10,,42219,15267,,,,,,83800,44,2163,86007,216091,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_NOGALES.pdf
26,SONORA,66,ONAVAS,1,2,2,0,1,0,,,262,,,,243,0,0,0,0,,210,,,,,,,716,0,15,731,869,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_ONAVAS.pdf
26,SONORA,51,OPODEPE,5,6,6,382,168,12,,,94,,,,8,44,8,0,0,,755,,,,,,,1471,1,32,1504,2175,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_OPODEPE.pdf
26,SONORA,31,OQUITOA,1,1,1,0,89,0,,,,,,,245,,,,,,10,,,,,,,344,0,9,353,446,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_OQUITOA.pdf
26,SONORA,52,PITIQUITO,6,14,15,261,638,29,,,1041,,,,615,46,28,0,1,,1362,,,,,,,4021,0,94,4115,6422,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_PITIQUITO.pdf
26,SONORA,53,PUERTO PEÑASCO,27,86,87,5712,2352,350,,,7026,,,,332,468,148,24,12,,9744,,,,,,,26168,4,626,26798,54997,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_PUERTO%20PEÑASCO.pdf
