CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_RSP_PANALT,MORENA_PANALT,MORENA_RSP,RSP_PANALT,CAND_IND01,CAND_IND02,CAND_IND03,CAND_IND04,CAND_IND05,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,URNA_ELECTRONICA,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,572,C,2,0,C02,8,12,8,66,43,23,17,54,88,0,0,0,0,0,0,0,0,0,0,121,34,0,474,8,482,0,642,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,573,B,1,0,B,11,9,8,50,13,34,4,70,74,0,4,1,0,0,0,0,0,0,0,110,79,1,467,15,483,0,665,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,573,C,1,0,C01,10,9,9,45,13,28,11,69,83,0,1,1,0,0,0,0,0,0,0,93,81,0,453,15,468,0,665,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,573,C,2,0,C02,10,13,3,76,6,45,12,70,75,0,0,2,0,0,0,0,0,0,0,78,96,1,486,13,500,0,665,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,574,B,1,0,B,7,7,9,87,13,25,16,60,90,0,1,0,0,0,0,0,0,0,0,59,61,0,435,19,454,0,653,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,574,C,1,0,C01,13,13,9,91,20,23,17,65,92,0,1,0,0,0,0,0,0,0,0,55,75,0,474,11,485,0,653,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,574,C,2,0,C02,6,8,8,76,26,24,9,52,64,0,2,0,0,0,0,0,0,0,0,75,67,1,417,11,429,0,652,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,574,C,3,0,C03,7,11,11,91,15,29,14,59,64,0,1,0,0,0,0,0,0,0,0,77,67,0,446,10,456,0,652,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,574,C,4,0,C04,12,7,15,58,22,36,19,68,82,0,1,0,0,0,0,0,0,0,0,44,91,0,455,14,469,0,652,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,575,B,1,0,B,58,10,52,35,0,48,92,57,7,7,0,1,0,0,0,0,0,0,0,0,0,0,367,16,383,0,610,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,575,C,1,0,C01,61,4,61,30,0,39,117,74,8,1,0,2,0,0,0,0,0,0,0,0,0,0,397,15,412,0,610,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,575,C,2,0,C02,40,11,52,30,0,63,96,91,14,6,0,2,0,0,0,0,0,0,0,0,0,0,405,8,413,0,609,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,575,C,3,0,C03,51,10,61,36,0,58,116,69,8,1,0,1,0,0,0,0,0,0,0,0,0,0,411,12,423,0,609,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,576,B,1,0,B,43,5,116,26,0,31,107,93,19,5,0,2,0,0,0,0,0,0,0,0,0,0,447,14,461,0,634,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,576,C,1,0,C01,60,7,67,25,0,47,102,83,6,4,0,6,0,0,0,0,0,0,0,0,0,0,407,9,416,0,634,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,576,C,2,0,C02,48,7,82,22,0,46,103,102,12,2,0,3,0,0,0,0,0,0,0,0,0,1,427,17,445,0,633,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,577,B,1,0,B,36,11,45,18,0,17,70,63,25,2,0,0,0,0,0,0,0,0,0,0,0,0,287,12,299,0,405,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,577,C,1,0,C01,25,12,54,10,0,30,63,44,26,4,0,3,0,0,0,0,0,0,0,0,0,0,271,27,298,0,404,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,578,B,1,0,B,47,14,44,33,0,11,83,53,8,4,0,4,0,0,0,0,0,0,0,0,0,0,301,8,309,0,393,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,578,C,1,0,C01,48,23,26,34,0,9,96,57,1,2,0,2,0,0,0,0,0,0,0,0,0,0,298,10,308,0,393,ACTA CASILLA,,,
