CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_RSP_PANALT,MORENA_PANALT,MORENA_RSP,RSP_PANALT,CAND_IND01,CAND_IND02,CAND_IND03,CAND_IND04,CAND_IND05,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,1,AMAXAC DE GUERRERO,4,2,2,26,175,23,5,64,18,27,238,2,0,26,1,0,0,0,0,0,0,0,0,0,0,605,34,639,758
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,2,APETATITLAN DE ANTONIO CARVAJAL,5,4,4,701,32,15,39,138,183,659,250,0,10,55,11,0,0,0,0,0,0,0,0,0,0,2093,68,2161,2780
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,2,APETATITLAN DE ANTONIO CARVAJAL,6,3,3,234,14,0,5,47,58,226,40,0,3,6,21,0,0,0,0,0,0,0,0,0,3,654,24,681,902
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,2,APETATITLAN DE ANTONIO CARVAJAL,7,1,1,80,19,5,1,9,11,87,24,0,0,5,6,0,0,0,0,0,0,0,0,0,0,247,9,256,319
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,2,APETATITLAN DE ANTONIO CARVAJAL,8,4,4,642,62,21,26,98,166,525,149,0,3,27,24,0,0,0,0,0,0,0,0,0,1,1743,54,1798,2377
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,2,APETATITLAN DE ANTONIO CARVAJAL,9,4,4,520,27,8,29,145,121,703,311,0,5,19,13,0,0,0,0,0,0,0,0,0,0,1901,98,1999,2781
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,2,APETATITLAN DE ANTONIO CARVAJAL,10,5,5,541,24,3,35,160,142,1131,232,0,12,29,13,0,0,0,0,0,0,0,0,0,0,2322,72,2394,3021
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,2,APETATITLAN DE ANTONIO CARVAJAL,11,2,2,198,28,3,16,47,82,255,85,0,2,8,8,0,0,0,0,0,0,0,0,0,0,732,25,757,950
4,29,TLAXCALA,4,APIZACO,3,APIZACO,12,2,2,149,41,1,13,27,31,117,277,2,3,2,12,0,0,0,0,104,0,0,0,0,0,779,23,802,1177
4,29,TLAXCALA,4,APIZACO,3,APIZACO,13,4,4,346,97,12,51,59,29,238,567,6,8,12,19,0,0,0,0,192,0,0,0,0,1,1636,69,1706,2451
4,29,TLAXCALA,4,APIZACO,3,APIZACO,14,7,7,918,64,34,84,105,83,477,1211,12,14,21,32,0,0,0,0,350,0,0,0,0,0,3405,100,3505,5194
4,29,TLAXCALA,4,APIZACO,3,APIZACO,15,3,3,268,29,4,30,28,30,171,382,2,7,5,6,0,0,0,0,130,0,0,0,0,0,1092,31,1123,1675
4,29,TLAXCALA,4,APIZACO,3,APIZACO,16,3,3,321,17,8,20,69,26,147,399,4,9,11,12,0,0,0,0,143,0,0,0,0,0,1186,37,1223,1695
