CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCION,CASILLAS,ACTA_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,29,TEPEYANCO,185,SAN PEDRO XACALTZINGO,397,3,3,0,0,0,754,0,0,0,479,243,0,0,0,0,0,0,0,1476,29,1505,1854
4,29,TLAXCALA,3,SANTIAGO TETLA,30,TERRENATE,186, CHIPILO,399,3,3,0,0,0,29,288,238,0,400,175,0,116,0,0,0,0,0,1246,69,1315,1783
4,29,TLAXCALA,3,SANTIAGO TETLA,30,TERRENATE,187,VILLAREAL,403,2,2,8,0,289,109,143,36,0,116,163,0,56,0,0,0,0,0,920,23,943,1279
4,29,TLAXCALA,3,SANTIAGO TETLA,30,TERRENATE,188,TOLUCA DE GUADALUPE,404,4,4,156,0,7,391,90,288,0,403,87,0,576,0,0,0,0,1,1998,78,2077,2751
4,29,TLAXCALA,3,SANTIAGO TETLA,30,TERRENATE,189,COLONIA EL CAPULIN,406,1,1,1,0,0,177,31,116,0,51,0,0,6,0,0,0,0,0,382,15,397,510
4,29,TLAXCALA,3,SANTIAGO TETLA,30,TERRENATE,190,COLONIA GUADALUPE VICTORIA,407,2,2,1,0,0,6,133,92,0,335,38,0,26,0,0,0,0,0,631,20,651,806
4,29,TLAXCALA,3,SANTIAGO TETLA,30,TERRENATE,191,NICOLAS BRAVO,408,2,2,153,0,0,59,189,402,0,196,49,0,20,0,0,0,0,0,1068,47,1115,1463
4,29,TLAXCALA,3,SANTIAGO TETLA,31,TETLA DE LA SOLIDARIDAD,192,COLONIA AGRICOLA DE DOLORES,409,3,3,137,0,164,277,0,290,0,133,0,0,171,0,0,0,0,12,1172,33,1217,1673
4,29,TLAXCALA,3,SANTIAGO TETLA,31,TETLA DE LA SOLIDARIDAD,193,SECCION 4A CHIAUTZINGO,410,2,2,86,0,39,158,0,315,0,357,0,0,35,0,0,0,0,0,990,29,1019,1386
4,29,TLAXCALA,3,SANTIAGO TETLA,31,TETLA DE LA SOLIDARIDAD,194,SECCION 1A ACTIPAN INFONAVIT,411,5,5,345,0,402,254,106,230,124,362,0,40,106,0,0,0,0,0,1969,73,2042,3071
4,29,TLAXCALA,3,SANTIAGO TETLA,31,TETLA DE LA SOLIDARIDAD,194,SECCION 1A ACTIPAN INFONAVIT,414,2,2,34,0,80,84,20,39,57,177,0,11,9,0,0,0,0,0,511,28,539,818
