ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,48,COLONIA LA SOLEDAD,1,1,,,,,17,,51,83,,14,,,,,,185,165,23,373,491,
29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,49,VICENTE GUERRERO,1,1,,,,,134,,39,3,,9,,,,,,0,185,6,191,240,
29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,50,COLONIA IGNACIO ALLENDE,1,3,110,20,238,96,,455,46,78,,,57,,,,,0,1100,51,1151,1518,
29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,51,SANTA BEATRIZ LA NUEVA,1,1,47,70,9,4,,5,5,106,,,1,,,,,0,247,5,252,291,
29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,52,COLONIA LOMA BONITA,1,1,12,3,74,4,,44,,,,,,,,,,0,137,8,145,167,
29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,53,COLONIA MANUEL AVILA CAMACHO,1,1,99,3,46,,,75,47,5,,,,,,,,0,275,7,282,320,
29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,54,SAN FRANCISCO CUEXCONTZI,1,2,83,43,16,55,146,203,125,27,,,47,,,,,0,745,38,783,932,
29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,55,COLONIA PLAN DE AYALA,1,1,80,,3,6,79,103,15,,,,57,,,,,0,343,12,355,411,
29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,56,COLONIA JOSE MARIA MORELOS,1,1,6,104,27,160,,,1,3,,,93,,,,,0,394,19,413,504,
29,TLAXCALA,8,SAN BERNARDINO CONTLA,9,CUAXOMULCO,57,2DA SECCION CUAXOMULCO (TECUICUILCO),1,2,154,108,,,63,252,93,187,62,18,110,,,,,0,1047,36,1083,1457,
29,TLAXCALA,8,SAN BERNARDINO CONTLA,9,CUAXOMULCO,58,1A SECCION CUAXOMULCO (BARRIO DE ATENCO),1,2,70,18,,,2,38,226,156,108,11,212,,,,,0,841,31,872,1136,
