CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,CAND_IND1,CAND_IND2,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,125,3,3,83,87,9,35,28,417,246,5,26,6,1,,,1,9,15,4,7,979,0,35,1014,1758
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,12,4,4,52,153,7,14,30,525,251,4,18,10,8,,,3,11,2,4,5,1097,0,23,1120,1502
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,24,2,2,60,106,5,18,14,336,157,5,10,5,3,,,4,11,2,5,1,742,2,19,763,1078
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,25,1,1,29,74,1,3,9,208,96,0,2,4,2,,,3,2,1,2,2,438,0,11,449,603
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,26,2,2,65,110,3,15,13,382,161,2,8,5,1,,,2,13,2,2,1,785,1,14,800,1086
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,27,2,2,67,153,3,8,13,320,148,0,10,5,3,,,1,13,0,3,1,748,0,19,767,1021
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,28,1,1,42,84,3,5,4,136,87,1,10,4,2,,,0,1,0,3,0,382,0,5,387,574
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,29,2,2,58,104,1,4,3,231,159,1,7,7,4,,,1,12,2,0,1,595,0,11,606,818
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,30,1,1,62,121,5,9,6,203,135,1,7,2,0,,,3,8,0,3,1,566,0,10,576,737
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,31,1,1,17,77,2,8,8,199,128,0,4,6,3,,,0,6,1,1,0,460,0,17,477,684
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,46,2,2,49,96,2,12,12,278,220,3,10,4,7,,,4,12,1,4,2,716,0,17,733,1002
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,47,2,2,51,122,7,10,8,314,165,4,17,3,1,,,1,9,1,0,1,714,1,6,721,926
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,48,2,2,44,113,4,5,3,278,165,7,6,8,0,,,1,8,2,2,0,646,0,10,656,945
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,49,2,2,46,123,4,10,17,320,198,1,18,4,5,,,0,7,0,1,0,754,0,20,774,1092
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,51,3,3,39,137,2,14,9,325,162,2,5,1,7,,,1,8,0,4,0,716,0,18,734,954
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,52,1,1,46,126,4,9,4,174,94,2,6,8,1,,,1,3,0,2,0,480,0,9,489,672
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,55,2,2,49,143,10,14,13,359,240,4,7,10,4,,,3,11,3,2,1,873,0,22,895,1251
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,56,2,2,35,91,2,15,17,251,151,0,17,3,1,,,3,12,0,1,1,600,0,8,608,908
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,57,2,2,65,115,3,17,8,316,199,2,6,9,2,,,1,11,1,0,0,755,2,11,768,1083
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,58,2,2,55,114,3,9,12,326,202,3,14,0,4,,,1,15,3,3,1,765,1,26,792,1136
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,59,2,2,40,132,3,13,14,351,180,5,10,3,10,,,1,8,1,4,1,776,1,20,797,1100
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,68,2,2,33,85,4,18,17,397,226,3,9,8,1,,,3,16,5,4,5,834,6,22,862,1285
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,69,2,2,40,123,1,14,22,281,136,2,10,9,3,,,0,5,1,4,0,651,1,23,675,998
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,70,2,2,55,130,5,4,21,395,173,2,11,3,6,,,0,12,0,1,1,819,1,16,836,1164
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,71,2,2,57,153,1,14,14,257,149,5,4,8,2,,,1,9,1,3,2,680,0,22,702,968
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,76,2,2,48,137,16,7,12,274,153,2,7,1,3,,,0,10,2,0,0,672,0,19,691,961
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,77,2,2,48,100,1,7,19,320,157,1,9,5,1,,,2,9,3,3,2,687,0,12,699,932
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,78,2,2,16,84,3,14,15,313,159,2,5,2,4,,,2,7,0,2,1,629,0,11,640,921
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,84,2,2,12,53,2,15,26,261,190,4,3,7,1,,,2,11,11,3,5,606,0,17,623,927
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,85,2,2,23,88,2,18,18,332,228,1,1,2,2,,,0,19,4,2,7,747,0,33,780,1149
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,86,2,2,69,140,3,13,10,353,215,2,10,11,1,,,1,7,3,1,0,839,1,9,849,1065
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,92,3,3,71,116,1,4,4,214,113,0,7,3,1,,,2,10,0,1,0,547,2,5,554,1213
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,93,2,2,138,213,3,11,15,292,177,2,8,2,3,,,0,9,0,1,1,875,0,14,889,1128
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,94,2,2,77,123,4,15,14,413,222,2,7,11,6,,,2,18,0,1,0,915,0,29,944,1360
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,95,3,3,45,133,7,29,17,418,206,3,7,6,1,,,4,18,6,2,2,904,0,23,927,1631
3,4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,96,2,2,14,88,4,15,18,372,138,6,4,2,0,,,0,11,2,3,2,679,0,21,700,1141
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,53,2,2,51,144,3,6,12,351,154,1,10,2,1,,,3,4,0,1,2,745,0,14,759,985
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,54,2,2,48,125,2,5,8,219,150,4,3,4,4,,,1,8,0,3,0,584,0,7,591,780
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,72,2,2,83,193,8,12,11,350,186,4,9,8,4,,,1,12,1,0,5,887,0,12,899,1203
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,73,2,2,104,142,3,9,11,301,133,2,3,3,6,,,1,10,2,3,2,735,2,18,755,1166
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,74,2,2,50,148,10,19,16,368,227,4,6,3,3,,,3,6,0,5,1,869,0,18,887,1253
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,75,3,3,112,237,8,15,12,592,376,5,6,6,4,,,5,23,4,4,3,1412,0,28,1440,2143
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,87,2,2,42,128,9,8,16,265,158,0,9,8,2,,,1,8,0,0,0,654,0,15,669,897
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,88,1,1,66,136,4,4,10,136,90,2,1,2,0,,,1,5,2,0,0,459,0,3,462,619
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,90,3,3,95,175,6,20,21,583,286,5,11,13,5,,,1,16,4,2,4,1247,1,33,1281,1843
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,91,3,3,35,130,7,14,16,392,201,3,5,7,3,,,2,18,2,2,0,837,0,28,865,1832
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,99,2,2,40,105,12,11,16,358,191,2,9,4,3,,,3,10,2,3,0,769,0,30,799,1290
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,100,4,4,58,214,4,27,37,660,339,2,20,10,4,,,1,16,5,5,7,1409,2,45,1456,2409
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,101,4,4,75,174,9,25,36,772,393,7,14,7,6,,,3,25,6,3,3,1558,0,41,1599,2484
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,102,3,3,62,193,10,12,22,533,296,2,12,9,5,,,0,12,2,2,1,1173,1,18,1192,1820
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,103,2,2,31,99,4,17,29,349,185,4,6,2,2,,,2,7,2,3,4,746,0,22,768,1237
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,107,2,2,37,97,9,12,22,385,205,5,5,10,4,,,1,12,4,1,5,814,0,26,840,1350
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,109,4,4,67,224,7,37,50,662,379,9,6,5,2,,,1,21,6,0,6,1482,0,36,1518,2656
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,111,3,3,42,163,6,25,34,593,289,8,12,3,5,,,3,20,4,4,4,1215,0,41,1256,2086
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,540,2,2,21,67,4,18,15,344,188,2,9,9,5,,,0,14,4,1,0,701,1,35,737,1266
3,4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,541,3,3,43,133,4,14,18,583,253,4,16,5,2,,,2,19,5,5,6,1112,0,32,1144,2063
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,89,2,2,136,197,4,3,15,271,118,1,8,2,2,,,2,2,2,2,1,766,1,10,777,1018
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,97,2,2,33,58,2,23,17,361,163,3,2,2,0,,,1,15,8,2,2,692,0,20,712,1223
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,98,2,2,55,125,2,5,10,280,118,1,7,8,0,,,4,8,0,1,0,624,0,16,640,828
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,104,2,2,22,66,2,5,14,271,148,4,1,3,4,,,2,4,1,1,1,549,1,14,564,756
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,105,10,10,151,402,15,73,66,1718,806,20,28,14,9,,,4,69,14,13,5,3407,2,112,3521,7420
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,106,2,2,93,144,10,14,16,415,210,3,7,10,4,,,0,15,1,1,4,947,0,15,962,1296
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,110,2,2,38,77,9,22,26,423,282,2,4,3,4,,,4,16,9,1,3,923,0,18,941,1391
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,112,8,8,157,310,13,42,28,1143,605,6,11,20,9,,,2,28,7,10,6,2397,0,62,2459,5037
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,113,2,2,30,58,3,18,25,280,176,5,4,4,1,,,1,12,3,1,2,623,0,16,639,870
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,114,2,2,28,72,5,25,12,386,253,3,3,1,2,,,1,11,5,1,0,808,0,24,832,1224
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,115,2,2,18,49,2,14,12,297,151,3,6,1,3,,,2,11,6,3,2,580,0,19,599,935
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,116,2,2,43,62,5,20,19,399,200,4,9,0,3,,,1,11,4,3,3,786,0,16,802,1157
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,117,3,3,53,81,9,30,32,499,294,4,9,5,5,,,1,22,7,7,4,1062,1,23,1086,1725
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,126,3,3,89,139,8,28,36,503,332,10,38,7,3,,,1,24,4,3,3,1228,0,40,1268,2233
3,4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,1,CAMPECHE,127,2,2,45,88,5,31,18,259,214,2,18,4,0,,,0,16,5,2,4,711,0,19,730,1251
