ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_PRD_NAY,PAN_PRI_PRD,PAN_PRI_NAY,PAN_PRD_NAY,PRI_PRD_NAY,PAN_PRI,PAN_PRD,PAN_NAY,PRI_PRD,PRI_NAY,PRD_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,54,MUXUPIP,3,5,5,995,2,19,53,16,6,1106,0,0,0,0,0,0,5,0,0,0,0,0,15,3,10,3,2233,0,25,2258,2519,
31,YUCATAN,55,OPICHEN,3,8,8,2639,13,0,0,0,0,1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4534,3,71,4608,5416,
31,YUCATAN,56,OXKUTZCAB,16,41,41,806,6127,67,251,560,100,6664,1177,0,0,163,0,0,88,0,8,0,37,0,219,32,34,68,16401,11,512,16924,24194,
31,YUCATAN,57,PANABA,6,11,11,2338,192,0,0,0,0,2624,20,0,0,21,0,0,36,0,1,0,1,0,0,0,0,0,5233,1,67,5301,6083,
31,YUCATAN,58,PETO,17,31,31,1971,1713,0,2022,364,2684,4448,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13263,5,361,13629,18070,
31,YUCATAN,59,PROGRESO,30,78,78,13637,930,186,317,555,460,12909,86,0,0,0,0,0,0,0,0,0,9,0,0,0,0,335,29424,16,1626,31066,49340,
31,YUCATAN,60,QUINTANA ROO,1,2,2,421,5,0,205,2,0,47,183,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,865,0,15,880,966,
31,YUCATAN,61,RIO LAGARTOS,3,6,6,789,148,0,301,22,0,1336,5,0,0,9,0,0,25,0,0,0,0,0,0,0,0,12,2647,1,55,2703,3031,
31,YUCATAN,62,SACALUM,3,7,7,602,9,0,0,1200,1325,158,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,68,3375,0,108,3483,3968,
31,YUCATAN,63,SAMAHIL,3,8,8,105,13,65,1732,13,0,239,1655,0,0,0,0,0,0,0,0,0,0,0,33,14,14,4,3887,0,75,3962,4425,
31,YUCATAN,64,SANAHCAT,1,2,2,506,3,0,1,1,217,91,550,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,1378,0,24,1402,1482,
31,YUCATAN,65,SAN FELIPE,2,4,4,50,1024,0,15,9,0,553,0,0,0,0,0,0,0,0,0,0,0,0,23,8,5,5,1692,0,40,1732,1946,
31,YUCATAN,66,SANTA ELENA,3,6,6,1554,8,0,0,0,0,854,137,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2575,0,38,2613,3294,
31,YUCATAN,67,SEYE,5,13,13,2441,13,1597,51,69,126,2113,6,0,0,0,0,0,0,0,0,17,0,0,51,6,11,24,6525,0,168,6693,8041,
