CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_PRD_NAY,PAN_PRI_PRD,PAN_PRI_NAY,PAN_PRD_NAY,PRI_PRD_NAY,PAN_PRI,PAN_PRD,PAN_NAY,PRI_PRD,PRI_NAY,PRD_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,31,YUCATAN,8,MERIDA,50,MERIDA,1120,2,2,367,28,2,20,9,68,297,4,0,0,11,0,0,5,0,1,0,0,0,19,1,2,2,836,0,11,847,1321
3,31,YUCATAN,8,MERIDA,50,MERIDA,1121,3,3,459,29,8,24,21,103,405,7,0,0,7,0,0,9,0,0,0,0,0,34,1,7,6,1120,0,31,1151,1836
3,31,YUCATAN,8,MERIDA,50,MERIDA,1122,3,3,553,48,9,26,24,125,477,12,0,0,13,0,0,4,0,0,0,0,0,32,0,7,3,1333,2,30,1365,2049
3,31,YUCATAN,8,MERIDA,50,MERIDA,1123,3,3,523,40,5,19,21,99,421,11,0,0,12,0,0,9,0,2,0,0,0,39,0,4,6,1211,0,16,1227,1809
3,31,YUCATAN,8,MERIDA,50,MERIDA,1124,4,4,886,71,9,44,25,204,582,19,0,0,19,0,0,14,0,0,0,0,0,37,2,6,11,1929,0,40,1969,2880
3,31,YUCATAN,8,MERIDA,50,MERIDA,1125,5,5,910,70,13,47,46,195,743,10,0,0,17,0,0,19,0,0,0,0,0,49,0,2,6,2127,2,41,2170,3416
3,31,YUCATAN,8,MERIDA,50,MERIDA,1126,2,2,353,34,8,17,13,68,326,5,0,0,9,0,0,10,0,2,0,0,0,25,0,5,3,878,0,12,890,1484
3,31,YUCATAN,8,MERIDA,50,MERIDA,1127,3,3,570,57,4,26,28,121,431,11,0,0,13,0,0,12,0,1,0,0,0,41,3,3,5,1326,1,32,1359,1993
3,31,YUCATAN,8,MERIDA,50,MERIDA,1128,3,3,466,43,7,22,21,105,429,6,0,0,4,0,0,6,0,1,0,0,0,20,2,4,5,1141,2,19,1162,1818
3,31,YUCATAN,8,MERIDA,50,MERIDA,1129,2,2,344,46,3,17,17,99,364,9,0,0,3,0,0,9,0,1,0,0,0,19,0,0,0,931,1,13,945,1415
3,31,YUCATAN,6,MERIDA,50,MERIDA,1130,2,2,113,12,2,7,10,25,222,6,0,0,2,0,0,1,0,0,0,0,0,16,1,4,0,421,1,11,433,791
