ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_PRD_NAY,PAN_PRI_PRD,PAN_PRI_NAY,PAN_PRD_NAY,PRI_PRD_NAY,PAN_PRI,PAN_PRD,PAN_NAY,PRI_PRD,PRI_NAY,PRD_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,77,TEKAL DE VENEGAS,2,4,4,0,0,0,0,0,2,0,0,0,0,1018,0,0,0,0,0,0,0,0,1026,0,1,1,2048,0,17,2065,2357,
31,YUCATAN,78,TEKANTO,6,8,8,0,0,0,0,0,0,0,0,0,0,1111,0,0,0,0,0,0,0,0,1775,4,4,4,2898,1,30,2929,3249,
31,YUCATAN,79,TEKAX,21,54,54,0,0,0,409,0,0,0,0,9935,0,0,0,0,0,0,0,0,0,0,0,0,0,11841,22185,124,850,23159,32682,
31,YUCATAN,80,TEKIT,4,14,14,3823,17,0,0,0,0,3560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7400,1,104,7505,8485,
31,YUCATAN,81,TEKOM,4,6,6,690,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,1512,0,0,0,0,0,2384,1,57,2442,2757,
31,YUCATAN,82,TELCHAC PUEBLO,4,6,6,0,1279,0,3,1242,0,67,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,2630,0,68,2698,3088,
31,YUCATAN,83,TELCHAC PUERTO,2,4,4,192,902,0,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,0,2002,0,50,2052,2310,
31,YUCATAN,84,TEMAX,6,11,11,0,0,0,0,2226,0,0,6,0,0,0,0,0,2372,0,0,0,0,0,0,0,182,0,4786,0,98,4884,5575,
31,YUCATAN,85,TEMOZON,8,21,21,0,0,25,87,0,457,5617,4172,0,0,0,0,0,317,0,0,0,0,0,0,0,4,0,10679,0,315,10994,12519,
31,YUCATAN,86,TEPAKAN,3,4,4,807,0,0,0,0,0,0,0,0,0,0,0,866,0,0,0,0,0,0,81,0,0,0,1754,0,64,1818,1996,
31,YUCATAN,87,TETIZ,2,7,7,0,1345,0,0,1831,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,63,0,3351,0,100,3451,4082,
31,YUCATAN,88,TEYA,2,3,3,330,1,0,0,0,450,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,0,64,1485,1749,
31,YUCATAN,89,TICUL,16,50,50,0,485,61,0,0,96,0,0,0,0,0,0,0,0,0,9441,0,0,0,11468,49,88,49,21737,8,611,22356,30392,
