CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,MC,MORENA,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,686,B,1,0,B,0,85,53,5,51,0,8,5,1,0,0,0,73,281,3,8,292,606,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,687,B,1,0,B,0,57,41,3,18,0,5,3,6,1,0,0,66,200,0,9,209,409,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,687,C,1,0,C01,0,48,22,6,36,0,4,6,0,1,0,0,64,187,0,5,192,409,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,688,B,1,0,B,0,53,27,7,44,0,6,7,0,1,0,0,65,210,0,6,216,482,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,688,C,1,0,C01,0,52,23,6,32,0,6,6,0,0,0,0,77,202,0,4,206,481,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,689,B,1,0,B,0,71,26,5,37,0,3,8,1,0,0,0,52,203,0,7,210,385,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,689,C,1,0,C01,0,48,27,12,25,0,5,5,2,0,1,0,57,182,0,2,184,385,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,690,B,1,0,B,0,73,16,11,24,0,6,4,5,2,1,0,90,232,0,6,238,573,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,690,C,1,0,C01,0,86,35,10,39,0,6,2,1,0,0,0,96,275,1,10,286,573,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,691,B,1,0,B,0,74,39,14,49,0,17,9,3,1,0,0,106,312,1,12,325,724,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,692,B,1,0,B,0,75,21,8,24,0,4,2,2,0,0,0,59,195,0,3,198,466,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,692,C,1,0,C01,0,54,28,5,38,0,5,6,1,0,0,0,64,201,0,9,210,465,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,693,B,1,0,B,0,58,21,8,34,0,5,4,0,0,0,0,62,192,0,9,201,420,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,693,C,1,0,C01,0,50,23,5,25,0,10,11,1,0,0,0,56,181,0,4,185,420,GRUPO DE RECUENTO,,,
