CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,77,B,1,0,B,0,38,91,3,150,37,50,23,16,0,0,0,9,0,0,0,25,0,0,0,0,14,1,0,0,457,0,15,472,672,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,77,C,1,0,C01,0,33,70,0,166,27,54,25,10,0,0,0,3,0,0,0,24,0,0,0,0,10,6,0,0,428,0,19,447,672,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,77,C,2,0,C02,0,40,72,2,203,22,49,29,7,0,0,0,7,0,0,0,21,0,0,0,0,9,6,0,0,467,0,14,481,671,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,78,B,1,0,B,0,43,115,3,160,21,66,38,34,0,0,0,7,0,0,0,20,0,0,0,0,14,9,1,0,531,0,15,546,741,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,78,C,1,0,C01,0,55,128,2,130,20,68,18,22,0,0,0,4,0,0,0,33,0,0,0,0,17,7,0,2,506,0,19,525,741,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,79,B,1,0,B,0,43,57,0,99,14,42,16,14,0,0,0,4,0,0,0,18,0,0,0,0,7,0,0,0,314,0,17,331,522,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,79,C,1,0,C01,0,43,67,2,86,14,52,26,7,0,0,0,6,0,0,0,23,0,0,0,0,3,2,1,1,333,0,9,342,522,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,79,C,2,0,C02,0,40,61,3,92,14,69,13,5,0,0,0,8,0,0,0,14,0,0,0,0,5,4,0,0,328,2,13,343,521,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,79,E,1,0,E01,0,34,65,4,133,9,54,27,18,0,0,0,3,0,0,0,11,0,0,0,0,8,9,0,0,375,0,20,395,664,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,79,E,1,1,E01C01,0,28,61,2,133,16,51,48,10,0,0,0,5,0,0,0,16,0,0,0,0,7,2,0,0,379,0,18,397,664,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,79,E,1,2,E01C02,0,28,51,1,136,23,72,30,10,0,0,0,4,0,0,0,22,0,0,0,0,7,2,0,0,386,0,14,400,663,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,79,E,1,3,E01C03,0,34,72,4,125,17,50,39,8,0,0,0,2,0,0,0,26,0,0,0,0,11,2,1,0,391,1,20,412,663,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,80,B,1,0,B,0,33,60,4,88,11,24,13,8,0,0,0,0,0,0,0,7,0,0,0,0,4,6,0,0,258,0,26,284,505,GRUPO DE RECUENTO,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,81,B,1,0,B,0,45,63,1,100,6,31,19,1,0,0,0,1,0,0,0,12,0,0,0,0,8,8,0,0,295,0,16,311,513,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,81,C,1,0,C01,0,52,85,3,115,6,20,20,7,0,0,0,3,0,0,0,1,0,0,0,0,4,5,0,1,322,0,19,341,512,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,81,C,2,0,C02,0,32,70,4,97,8,24,18,3,0,0,0,4,0,0,0,1,0,0,0,0,5,3,1,1,271,0,27,298,512,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,82,B,1,0,B,0,41,77,2,181,11,46,51,6,0,0,0,2,0,0,0,10,0,0,0,0,5,3,0,0,435,0,26,461,654,GRUPO DE RECUENTO,,,
