CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1286,4,4,16,51,9,,,137,790,,,101,2,0,1,1,,,1108,0,46,1154,2007
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1287,2,2,18,27,11,,,118,455,,,87,1,0,0,0,,,717,0,40,757,1316
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1290,2,2,7,21,4,,,235,346,,,79,1,1,0,0,,,694,0,22,716,1357
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1291,4,4,16,26,6,,,407,658,,,256,1,0,0,1,,,1371,0,73,1444,2890
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1292,3,3,10,23,11,,,228,542,,,69,1,1,1,0,,,886,0,50,936,1686
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1293,3,3,16,43,5,,,199,408,,,94,3,0,0,1,,,769,0,46,815,1572
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1294,3,3,12,27,4,,,55,448,,,47,0,0,0,0,,,593,0,21,614,1069
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1295,2,2,7,32,2,,,43,470,,,73,5,0,1,1,,,634,0,25,659,1208
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1296,2,2,10,15,4,,,54,456,,,69,1,0,0,0,,,609,0,13,622,1083
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1297,3,3,20,44,9,,,67,805,,,166,1,1,0,0,,,1113,0,33,1146,1906
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1298,3,3,9,26,4,,,28,228,,,48,3,2,0,0,,,348,0,26,374,1152
1,26,SONORA,20,ETCHOJOA,65,NAVOJOA,1300,3,3,18,64,10,,,83,691,,,137,7,5,3,1,,,1019,0,60,1079,2047
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1109,6,6,77,751,18,,,294,,,,21,30,9,0,18,,1409,2627,0,57,2684,4392
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1110,3,3,65,326,2,,,86,,,,6,21,2,2,2,,545,1057,0,22,1079,1759
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1111,2,2,25,203,7,,,87,,,,5,6,3,1,1,,395,733,0,17,750,1215
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1112,2,2,29,251,5,,,69,,,,4,13,4,0,0,,328,703,0,12,715,1139
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1113,2,2,7,97,11,,,26,,,,7,7,2,0,0,,318,475,0,26,501,852
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1114,1,1,8,24,3,,,12,,,,4,0,0,0,0,,163,214,0,6,220,405
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1115,2,2,7,105,2,,,17,,,,3,7,0,0,0,,331,472,0,26,498,854
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1116,1,1,2,29,1,,,7,,,,1,1,0,0,0,,46,87,0,3,90,135
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1117,1,1,8,30,3,,,7,,,,0,0,0,0,0,,123,171,0,1,172,276
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1118,1,1,0,0,0,,,8,,,,4,60,0,0,0,,137,209,0,14,223,366
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1120,1,1,0,0,0,,,0,,,,0,0,0,0,0,,0,0,0,0,0,235
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1121,1,1,2,13,2,,,8,,,,4,2,0,0,0,,142,173,0,5,178,286
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1122,1,1,8,100,1,,,18,,,,0,0,0,0,0,,217,344,0,11,355,505
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1123,1,1,3,39,7,,,56,,,,10,3,0,0,0,,235,353,0,22,375,609
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1124,2,2,5,148,8,,,125,,,,9,7,2,0,1,,354,659,0,41,700,1182
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1125,1,1,7,36,0,,,39,,,,13,1,0,0,0,,207,303,0,9,312,548
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1126,1,1,4,34,0,,,7,,,,1,2,1,0,0,,56,105,0,6,111,142
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1127,1,1,1,18,0,,,2,,,,0,0,2,0,0,,42,65,0,1,66,155
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1128,1,1,1,29,1,,,6,,,,2,0,0,0,0,,98,137,0,6,143,281
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1129,1,1,1,16,1,,,7,,,,0,0,1,0,0,,81,107,0,4,111,145
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1130,2,2,11,131,5,,,53,,,,4,7,2,0,1,,319,533,0,16,549,843
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1131,2,2,3,89,3,,,14,,,,1,0,2,0,1,,238,351,0,17,368,699
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1132,1,1,6,67,1,,,9,,,,2,1,0,0,0,,100,186,0,9,195,317
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1133,1,1,0,115,0,,,2,,,,0,1,5,0,0,,0,123,0,16,139,454
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1134,1,1,0,109,0,,,28,,,,4,0,0,0,0,,205,346,0,6,352,484
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1135,1,1,5,73,1,,,22,,,,1,2,2,0,0,,208,314,0,17,331,517
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1136,1,1,0,39,0,,,10,,,,2,2,1,0,0,,71,125,0,3,128,250
1,26,SONORA,21,HUATABAMPO,62,ALAMOS,1137,1,1,10,83,0,,,12,,,,9,6,1,0,0,,230,351,0,19,370,592
1,26,SONORA,21,HUATABAMPO,4,ARIVECHI,38,2,2,14,47,5,,,98,,,,2,3,0,0,0,,388,557,1,29,587,787
1,26,SONORA,21,HUATABAMPO,4,ARIVECHI,39,1,1,1,3,3,,,31,,,,2,0,0,0,0,,131,171,0,5,176,233
1,26,SONORA,21,HUATABAMPO,4,ARIVECHI,40,1,1,3,7,0,,,10,,,,1,0,0,0,0,,62,83,0,4,87,111
1,26,SONORA,21,HUATABAMPO,8,BACANORA,48,2,2,190,28,3,,,7,,,,4,1,3,0,0,,402,638,0,20,658,806
1,26,SONORA,21,HUATABAMPO,8,BACANORA,49,1,1,27,4,2,,,1,,,,0,0,4,0,0,,86,124,0,2,126,151
1,26,SONORA,21,HUATABAMPO,8,BACANORA,51,1,1,9,2,1,,,3,,,,0,0,0,0,0,,86,101,0,4,105,164
1,26,SONORA,21,HUATABAMPO,18,DIVISADEROS,100,2,2,13,27,4,,,468,,,,3,0,0,1,0,,348,864,0,20,884,1332
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,0,0,1,0,0,0,,,1,0,,,0,0,0,0,0,0,1,2,0,0,2,2
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1189,3,3,193,104,6,,,77,,,,20,17,3,0,0,,524,944,0,21,965,1674
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1190,4,4,418,174,24,,,136,,,,49,19,7,1,0,,830,1658,1,44,1703,2857
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1191,2,2,116,46,2,,,42,,,,12,10,1,1,0,,313,543,0,8,551,923
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1192,2,2,136,90,4,,,39,,,,23,8,6,1,0,,347,654,0,24,678,1146
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1193,2,2,115,91,7,,,29,,,,8,12,2,0,0,,239,503,0,13,516,883
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1194,2,2,163,106,5,,,43,,,,13,21,2,0,0,,213,566,0,9,575,917
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1195,5,5,448,101,20,,,126,,,,47,31,8,3,0,,953,1737,0,67,1804,3362
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1196,1,1,126,55,3,,,27,,,,7,0,0,0,0,,124,342,0,7,349,535
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1197,2,2,211,71,7,,,39,,,,7,15,2,1,1,,374,728,0,15,743,1332
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1198,3,4,275,165,8,29,11,57,189,2,0,17,21,3,1,0,,227,1005,0,37,1042,920
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1199,3,3,289,153,9,,,71,,,,25,33,10,0,0,,532,1122,0,18,1140,1932
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1200,1,1,84,17,4,,,24,,,,6,2,1,0,0,,162,300,0,9,309,574
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1201,3,3,220,165,9,,,62,,,,11,17,5,0,0,,486,975,0,24,999,1766
1,26,SONORA,21,HUATABAMPO,64,HUATABAMPO,1202,2,2,183,35,8,,,56,,,,11,7,4,0,0,,384,688,0,23,711,1229
