CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,207,C,2,0,C02,0,174,29,3,8,17,36,6,111,3,3,7,10,0,8,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,425,0,0,425,691,GRUPO DE RECUENTO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,207,C,3,0,C03,0,144,29,3,9,12,52,4,99,4,0,7,4,3,12,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,387,0,15,402,691,ACTA DEL CONSEJO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,208,B,1,0,B,0,175,20,5,11,7,38,10,152,5,2,7,8,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,453,0,24,477,716,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,208,C,1,0,C01,0,133,12,3,13,8,46,15,140,4,2,9,5,5,2,1,0,0,1,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,405,0,23,428,715,ACTA DEL CONSEJO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,208,C,2,0,C02,0,118,21,4,14,13,62,6,159,2,3,9,4,2,6,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,428,0,20,448,715,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,208,C,3,0,C03,0,128,22,10,18,18,46,7,117,1,1,5,8,2,4,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,394,0,18,412,715,GRUPO DE RECUENTO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,210,B,1,0,B,0,226,28,16,4,12,49,3,95,2,1,7,6,0,16,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,471,2,11,484,697,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,210,C,1,0,C01,0,233,30,9,7,11,48,2,96,1,1,4,2,0,9,0,0,4,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,461,0,15,476,697,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,211,B,1,0,B,0,174,21,10,7,9,31,2,79,2,2,7,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,355,2,8,365,551,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,211,C,1,0,C01,0,185,32,11,9,5,27,1,81,2,0,5,2,2,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,370,1,21,392,551,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,212,B,1,0,B,0,67,35,5,8,6,59,2,73,3,6,7,2,3,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,281,0,19,300,502,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,212,C,1,0,C01,0,77,22,6,15,17,53,4,88,0,3,9,3,0,8,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,311,1,15,327,501,ACTA DEL CONSEJO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,212,C,2,0,C02,0,56,18,4,9,11,58,7,78,1,0,10,4,0,0,0,0,0,1,3,1,5,0,0,0,3,1,0,0,0,1,1,0,0,0,0,272,1,18,291,501,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,213,B,1,0,B,0,72,29,7,17,14,50,5,133,1,0,5,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,345,1,18,364,622,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,213,C,1,0,C01,0,74,31,4,13,22,59,8,104,2,4,5,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,18,353,622,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,213,C,2,0,C02,0,71,23,13,10,18,51,6,111,1,2,8,11,4,3,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,338,0,20,358,621,ACTA DEL CONSEJO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,214,B,1,0,B,0,96,36,12,18,6,52,2,132,6,1,6,7,1,13,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,392,0,20,412,642,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,214,C,1,0,C01,0,109,32,6,13,9,56,6,144,2,0,10,4,1,5,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,403,0,17,420,641,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,214,C,2,0,C02,0,97,29,9,12,10,69,4,126,0,1,10,7,1,4,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,386,0,16,402,641,ACTA DEL CONSEJO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,234,B,1,0,B,0,171,31,8,4,8,49,1,75,2,1,5,4,3,18,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,384,0,9,393,542,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,234,C,1,0,C01,0,177,30,7,4,6,26,3,77,1,1,6,7,3,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,354,0,0,354,541,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,235,B,1,0,B,0,79,22,3,13,3,47,2,74,1,3,2,5,1,12,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,273,1,15,289,690,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,236,B,1,0,B,0,181,42,13,6,14,37,2,85,3,2,4,0,0,11,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,405,0,16,421,576,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,237,B,1,0,B,0,141,32,3,2,5,43,1,77,1,3,4,2,1,3,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,324,0,9,333,489,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,237,C,1,0,C01,0,158,27,2,7,5,42,3,77,1,4,2,1,1,8,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,342,0,14,356,488,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,238,B,1,0,B,0,166,22,5,3,2,25,0,54,2,0,6,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,1,10,305,415,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,238,C,1,0,C01,0,149,31,10,7,2,26,4,61,0,0,4,0,0,8,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,307,0,6,313,414,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,240,B,1,0,B,0,227,24,9,8,11,53,3,112,2,1,8,10,2,10,0,0,0,3,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,489,0,11,500,719,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,240,C,1,0,C01,0,202,38,11,10,16,43,4,103,0,1,5,6,0,8,1,0,0,3,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,457,1,25,483,719,ACTA DEL CONSEJO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,240,C,2,0,C02,0,237,27,8,15,12,56,3,95,2,0,4,7,3,9,0,0,1,5,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,488,0,13,501,718,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,241,B,1,0,B,0,81,12,20,8,23,42,3,102,1,2,7,3,3,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,312,0,0,312,551,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,241,C,1,0,C01,0,89,11,18,10,16,43,4,77,2,2,4,7,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,295,3,22,320,550,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,241,C,2,0,C02,0,88,16,18,5,15,38,4,93,1,7,13,2,5,4,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,313,1,16,330,550,ACTA DEL CONSEJO,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,242,B,1,0,B,0,196,32,5,12,11,32,2,96,0,2,18,23,1,7,0,0,0,2,0,0,0,0,1,0,4,0,0,0,0,1,1,0,0,0,0,446,1,13,460,705,ACTA CASILLA,,,
4,17,MORELOS,1,CUERNAVACA,7,CUERNAVACA,242,C,1,0,C01,0,183,27,5,9,10,30,2,88,1,4,13,8,2,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,399,3,18,420,705,ACTA CASILLA,,,
