CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO
5,16,MICHOACAN,8,TARIMBARO,3,ALVARO OBREGON,,,REG_MR,C_PAN_PRI_PRD,2,JANET PUGA MENDOZA,2,,,PRI
5,16,MICHOACAN,8,TARIMBARO,3,ALVARO OBREGON,,,REG_MR,C_PAN_PRI_PRD,3,ERIC HECTOR GARCIA PEREZ,1,,,PRI
5,16,MICHOACAN,8,TARIMBARO,3,ALVARO OBREGON,,,REG_MR,C_PAN_PRI_PRD,4,MARIA GUADALUPE CHAVEZ CORONA,2,,,PRI
5,16,MICHOACAN,8,TARIMBARO,3,ALVARO OBREGON,,,REG_RP,MC,1,DANIEL RAMIREZ AGUILAR,1,,,MC
5,16,MICHOACAN,8,TARIMBARO,3,ALVARO OBREGON,,,REG_RP,PESM,2,JOSE ALBERTO ZAVALA TAPIA,1,,,PESM
5,16,MICHOACAN,8,TARIMBARO,3,ALVARO OBREGON,,,REG_RP,PT,3,IGNACIO MERINO GONZALEZ,1,CANDIDATURAS DE DISCAPACIDAD,,PT
5,16,MICHOACAN,2,PURUANDIRO,4,ANGAMACUTIRO,,,PRES_MUN,PT_PVEM_MORENA,1,HERMES ARNULFO PACHECO BRIBIESCA,1,,,PVEM
5,16,MICHOACAN,2,PURUANDIRO,4,ANGAMACUTIRO,,,SIND_MR,PT_PVEM_MORENA,1,MARIA LUISA RODRIGUEZ TORRES,2,,,PVEM
5,16,MICHOACAN,2,PURUANDIRO,4,ANGAMACUTIRO,,,REG_MR,PT_PVEM_MORENA,1,ADRIAN CERVANTES VARGAS,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,PVEM
5,16,MICHOACAN,2,PURUANDIRO,4,ANGAMACUTIRO,,,REG_MR,PT_PVEM_MORENA,2,ALEJANDRA CARRILLO ACOSTA,2,CANDIDATURAS INDIGENAS,,PVEM
