CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,110,PAHUATLAN,896,3,3,92,31,81,515,85,19,8,379,7,8,2,8,0,0,0,1,2,1,0,0,0,10,0,0,0,0,1,6,0,4,0,0,0,1,7,0,1,5,4,3,0,6,0,0,3,1,1,1292,0,92,1384,1994
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,912,2,2,222,27,3,17,22,24,8,659,4,13,8,6,0,0,0,2,0,0,0,0,0,17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1036,0,31,1067,1266
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,913,4,4,274,51,6,45,62,47,8,1062,12,8,0,0,0,0,0,3,0,0,0,0,0,2,1,3,2,2,0,7,0,0,0,1,0,0,0,0,0,2,6,1,1,2,0,0,0,1,0,1609,0,58,1667,2094
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,914,2,2,138,51,5,12,13,24,4,414,7,6,3,4,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,692,0,27,719,876
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,915,3,3,206,82,5,25,36,56,4,767,9,3,1,1,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,2,1,1,0,2,1,1,0,1,0,1216,0,44,1260,1550
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,916,2,2,88,49,5,13,22,39,8,449,22,5,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,712,0,31,743,912
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,917,3,3,258,50,28,35,54,138,26,880,37,12,7,4,1,0,0,1,4,0,0,1,1,10,1,2,0,0,0,9,0,1,42,0,0,1,1,0,0,1,2,1,0,5,0,0,2,2,0,1617,2,69,1688,2143
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,918,3,3,119,46,8,37,55,52,8,642,102,10,2,5,0,0,0,1,0,1,0,0,0,5,16,0,0,0,0,8,2,0,0,0,0,1,1,0,0,1,2,1,0,3,0,0,3,0,0,1131,0,42,1173,1551
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,919,2,2,100,28,3,23,44,27,8,689,88,6,2,1,0,0,0,1,1,0,0,0,0,15,0,0,0,3,2,4,1,0,1,0,0,3,0,0,0,2,4,3,0,3,1,0,7,1,0,1071,0,37,1108,1435
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,920,3,3,227,53,6,13,27,38,5,563,10,13,7,1,1,0,0,5,0,1,0,1,0,7,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,987,0,37,1024,1442
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,921,2,2,78,21,3,26,17,75,5,564,7,6,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,816,0,32,848,1112
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,2715,1,1,31,21,1,5,6,15,4,151,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,273,0,10,283,335
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,112,PANTEPEC,2716,1,1,18,6,3,7,10,36,0,159,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,254,0,18,272,339
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2209,3,3,146,50,20,664,67,24,15,510,5,9,4,5,0,0,0,3,1,1,0,0,0,3,0,1,0,1,0,2,0,0,0,1,0,0,0,1,0,2,5,0,2,7,0,0,0,0,0,1549,0,65,1614,2004
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2210,3,3,14,26,5,253,27,21,5,260,12,6,0,4,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,2,0,0,8,0,0,2,0,0,658,0,38,696,1084
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2211,2,2,16,35,5,328,43,10,3,274,1,5,1,1,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,13,0,2,4,0,0,0,1,0,755,0,43,798,1281
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2212,4,4,43,65,3,514,37,13,8,408,4,6,1,2,0,0,0,2,0,0,0,0,0,2,0,0,1,1,3,1,0,0,0,0,0,0,1,0,0,2,9,0,1,1,2,0,0,1,0,1131,0,49,1180,1567
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2213,2,2,23,24,3,236,51,10,9,370,6,16,0,4,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,20,0,1,3,1,1,0,0,1,786,0,14,800,1203
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2214,1,1,16,32,1,268,21,6,5,170,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,527,0,11,538,707
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2215,3,3,36,43,7,478,68,7,4,244,4,187,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1103,0,24,1127,1380
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2216,2,2,14,16,1,162,5,4,1,40,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0,9,260,754
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2217,3,3,57,76,12,407,47,14,5,239,4,12,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,9,0,0,2,1,0,1,1,0,897,0,47,944,1191
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2218,2,2,45,32,3,241,40,16,7,258,2,7,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,1,3,0,1,0,0,0,678,0,32,710,1038
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,178,TLACUILOTEPEC,2717,1,1,29,15,3,47,8,0,0,67,1,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,180,0,13,193,265
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,184,TLAPACOYA,2262,2,2,386,8,3,50,8,6,3,603,5,22,2,2,0,0,0,1,0,1,0,0,0,3,0,0,0,1,1,0,0,0,0,1,0,2,0,0,1,1,2,0,0,4,0,0,0,2,0,1118,0,29,1147,1432
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,184,TLAPACOYA,2263,3,3,208,13,2,51,5,5,1,430,0,16,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,735,0,18,753,927
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,184,TLAPACOYA,2264,3,3,481,5,6,204,12,8,2,627,2,9,1,2,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1370,0,32,1402,1781
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,184,TLAPACOYA,2265,1,1,171,6,1,22,5,1,3,256,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,475,0,14,489,693
