CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1151,10,10,2399,101,24,39,45,313,851,77,14,3,0,46,7,7,3,3929,2,39,3970,6867
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1152,4,4,612,53,6,39,21,131,387,10,2,0,0,16,1,3,0,1281,2,50,1333,2657
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1153,4,4,609,82,8,44,16,86,353,17,9,1,4,24,6,5,1,1265,0,26,1291,2577
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1154,2,2,352,60,8,18,10,46,212,2,2,0,0,6,1,3,0,720,0,26,746,1495
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1155,7,7,1095,46,12,57,47,229,873,31,8,1,0,29,3,8,1,2440,3,25,2468,5079
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,1160,3,3,277,29,3,16,8,113,196,4,8,0,0,14,6,1,2,677,0,18,695,1604
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,3179,1,1,162,7,1,7,3,0,170,5,1,0,0,2,1,0,1,360,0,10,370,716
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,3239,4,4,293,42,5,12,14,98,556,11,3,0,0,23,4,6,3,1070,0,12,1082,2786
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,3240,4,4,303,23,8,18,13,87,517,5,3,1,0,31,4,3,2,1018,0,28,1046,2729
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,3241,3,3,192,9,7,16,12,63,419,6,2,0,0,17,2,2,1,748,0,12,760,1972
2,11,GUANAJUATO,11,IRAPUATO,17,IRAPUATO,3242,5,5,346,42,7,32,41,110,555,10,0,1,0,28,5,2,0,1179,0,36,1215,2609
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,0,0,1,5,0,0,0,0,1,2,0,0,0,0,0,0,0,0,8,0,0,8,9
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,968,1,1,82,7,5,5,3,28,75,5,2,0,0,6,1,2,0,221,0,3,224,661
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,981,2,2,188,11,2,16,13,19,225,6,0,0,1,6,1,4,0,492,0,10,502,917
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,998,2,2,107,13,4,20,23,27,244,4,2,0,0,12,3,4,1,464,0,8,472,1043
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,999,2,2,116,21,2,19,35,44,332,5,3,0,0,19,3,6,2,607,0,14,621,1381
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1000,7,7,946,74,19,41,20,212,971,33,14,3,7,54,5,6,0,2405,3,37,2445,4512
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1001,1,1,120,6,1,0,2,25,87,5,0,0,0,6,1,2,0,255,0,5,260,408
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1002,1,1,163,12,1,2,2,16,63,5,0,1,0,2,1,0,1,269,0,9,278,430
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1003,1,1,171,16,1,8,1,20,69,2,0,0,0,1,0,4,0,293,0,3,296,449
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1004,1,1,175,10,4,8,3,19,113,0,4,0,0,5,0,1,0,342,0,5,347,574
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1005,2,2,197,10,5,6,8,47,215,7,0,0,0,13,1,2,2,513,0,15,528,879
