CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMV,PVEM_PT_MORENA,PVEM_PT_FXMV,PVEM_MORENA_FXMV,PT_MORENA_FXMV,PVEM_PT,PVEM_MORENA,PVEM_FXMV,PT_MORENA,PT_FXMV,MORENA_FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2825,3,3,101,50,4,42,5,52,430,4,8,2,0,0,3,12,0,0,0,1,6,2,0,0,4,726,0,21,747,1511
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2826,2,2,86,37,3,48,11,13,285,7,6,2,1,0,2,5,0,0,1,0,9,0,1,1,0,518,0,14,532,1150
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2827,2,2,95,46,5,39,9,34,371,3,6,3,0,0,9,6,2,0,1,4,0,4,2,0,0,639,0,10,649,1147
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2828,1,1,47,35,3,17,2,31,204,2,5,1,0,0,1,11,0,0,0,2,2,0,0,0,0,363,0,7,370,588
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2829,1,1,73,60,7,19,5,23,172,0,5,2,0,0,1,7,1,0,0,0,3,0,1,0,0,379,0,7,386,635
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2830,2,2,96,74,7,48,2,34,276,5,6,3,0,0,2,10,0,0,0,0,6,0,1,0,1,571,0,5,576,932
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2831,2,2,94,65,3,51,5,32,334,9,5,3,0,0,2,14,0,3,0,1,7,0,1,0,0,629,2,14,645,1038
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2832,1,1,84,50,2,14,3,19,231,4,5,5,0,0,0,6,0,0,1,0,1,0,1,0,1,427,1,10,438,659
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2833,4,4,278,185,12,72,27,88,941,9,12,3,0,1,9,41,0,2,1,6,8,1,3,0,1,1700,1,46,1747,2194
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2834,2,2,61,41,2,25,6,32,322,7,6,1,0,0,1,17,0,0,0,0,5,0,1,0,1,528,0,15,543,990
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2835,4,4,278,128,11,70,17,68,769,12,16,8,0,0,7,38,0,3,0,2,13,1,6,2,2,1451,1,32,1484,2514
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2836,4,4,187,102,9,45,29,97,814,29,16,5,0,1,8,26,0,4,0,6,9,2,4,3,1,1397,0,28,1425,2406
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2837,3,3,126,68,9,67,11,66,732,16,6,1,0,0,3,18,0,0,0,3,21,2,4,0,2,1155,0,24,1179,2202
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2838,1,1,60,18,3,10,12,9,260,7,6,1,0,0,0,8,1,1,0,0,4,1,1,0,1,403,0,11,414,747
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2839,2,2,72,61,3,30,16,16,247,8,6,3,0,0,1,20,0,1,0,1,10,0,0,0,3,498,0,9,507,890
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2840,2,2,38,50,2,28,6,20,233,5,5,2,0,0,3,15,0,0,2,4,11,0,1,0,2,427,0,13,440,936
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2841,1,1,80,28,3,20,10,4,91,0,6,4,1,0,0,0,0,0,0,2,2,0,0,0,0,251,0,17,268,457
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2842,1,1,4,2,1,4,2,0,69,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,88,0,9,97,225
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2843,1,1,9,6,0,12,2,6,106,1,0,0,0,0,0,8,0,0,0,2,3,0,2,0,0,157,0,6,163,357
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2844,1,1,12,5,0,5,1,2,24,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,53,0,4,57,134
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2845,2,2,42,5,4,28,4,9,247,5,0,2,0,0,1,7,0,0,0,1,1,0,0,0,1,357,0,7,364,717
3,30,VERACRUZ,1,PANUCO,124,PANUCO,2846,1,1,22,6,0,2,1,0,28,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,64,0,3,67,114
