ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMV,PVEM_PT_MORENA,PVEM_PT_FXMV,PVEM_MORENA_FXMV,PT_MORENA_FXMV,PVEM_PT,PVEM_MORENA,PVEM_FXMV,PT_MORENA,PT_FXMV,MORENA_FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,189,TUXTILLA,2,4,4,87,317,37,17,15,16,897,42,11,2,4,0,0,20,0,0,0,2,3,0,0,0,0,1470,0,36,1506,1945,
30,VERACRUZ,204,TRES VALLES,35,64,64,2651,2135,168,648,328,761,9295,188,253,60,9,4,48,382,17,16,10,43,134,7,77,4,29,17267,23,536,17826,31893,
30,VERACRUZ,13,AMATITLAN,7,13,13,481,246,76,103,286,130,2064,24,37,4,1,1,12,106,6,1,1,26,19,1,27,4,4,3660,0,90,3750,6067,
30,VERACRUZ,16,ANGEL R. CABADA,24,47,47,1519,1013,737,362,220,701,8656,135,157,18,17,7,48,324,24,10,9,37,118,7,56,5,16,14196,2,370,14568,25615,
30,VERACRUZ,79,ISLA,17,51,51,2157,1138,202,429,628,645,9288,125,225,60,11,7,81,446,15,8,6,49,100,1,106,4,9,15740,3,521,16264,29965,
30,VERACRUZ,95,JUAN RODRIGUEZ CLARA,22,46,46,1622,1294,174,507,336,463,7938,160,171,80,8,4,23,376,19,9,3,70,137,11,45,6,37,13493,0,427,13920,26920,
30,VERACRUZ,98,LERDO DE TEJADA,16,28,28,1732,466,122,332,125,495,4493,75,99,26,3,1,46,259,10,12,4,29,80,5,38,2,13,8467,1,214,8682,15162,
30,VERACRUZ,140,SALTABARRANCA,5,9,9,512,118,78,56,67,120,1680,33,34,3,2,2,6,55,2,1,2,12,16,1,17,1,5,2823,0,80,2903,4875,
30,VERACRUZ,144,SANTIAGO TUXTLA,38,79,79,2211,2067,2324,1516,578,2060,12132,332,358,47,47,42,84,506,17,20,10,109,182,16,79,12,40,24789,3,1023,25815,44500,
30,VERACRUZ,168,JOSE AZUETA,20,35,35,877,766,327,814,158,371,4657,78,74,23,8,2,22,298,2,4,2,47,112,11,30,4,3,8690,0,318,9008,17679,
30,VERACRUZ,177,TLACOTALPAN,13,20,20,1014,477,224,180,135,386,3112,90,121,22,10,11,14,134,5,2,7,29,31,10,15,4,8,6041,1,203,6245,10114,
30,VERACRUZ,208,CARLOS A. CARRILLO,20,30,30,911,771,106,284,241,382,5400,68,130,25,5,5,38,332,43,11,6,33,78,4,48,0,9,8930,0,212,9142,16516,
30,VERACRUZ,34,CATEMACO,25,66,66,2435,1440,797,650,446,1653,11042,344,268,59,21,9,65,489,15,27,8,69,135,7,88,15,19,20101,2,660,20763,37245,
30,VERACRUZ,75,HUEYAPAN DE OCAMPO,27,57,57,2349,1346,181,473,464,756,8719,248,204,76,15,5,64,388,10,12,13,33,108,4,88,5,31,15592,2,507,16101,30827,
30,VERACRUZ,142,SAN ANDRES TUXTLA,86,215,215,8770,4701,850,1900,1619,5202,27699,643,1060,246,49,28,175,1709,54,33,30,171,372,31,330,30,81,55783,15,2049,57847,124322,
30,VERACRUZ,50,COSOLEACAQUE,69,162,162,3371,6495,385,1154,845,2739,34328,356,533,102,22,16,254,1631,19,60,36,106,324,27,240,23,75,53141,8,1002,54151,89751,
30,VERACRUZ,61,CHINAMECA,13,25,25,550,1588,108,185,270,274,4518,80,85,29,3,3,31,183,8,5,3,19,45,0,34,3,7,8031,0,197,8228,13617,
30,VERACRUZ,105,MECAYAPAN,7,25,25,664,1033,508,229,235,245,4461,122,95,8,12,5,25,108,9,3,4,26,22,3,30,6,8,7861,0,241,8102,14207,
30,VERACRUZ,117,OLUTA,10,22,22,1227,302,77,139,100,234,4079,74,71,18,3,2,31,192,6,5,4,21,29,2,25,0,5,6646,2,128,6776,11941,
30,VERACRUZ,123,PAJAPAN,9,23,23,1026,552,117,222,239,363,4380,138,74,27,6,5,15,133,4,7,6,15,37,1,26,4,11,7408,1,219,7628,13606,
30,VERACRUZ,146,SOCONUSCO,8,18,18,706,235,84,125,84,298,4010,58,36,10,2,0,21,101,25,2,10,9,24,8,18,5,5,5876,10,91,5977,10593,
30,VERACRUZ,150,SOTEAPAN,12,41,41,1461,2690,173,563,427,766,6641,229,160,75,6,3,55,251,11,4,5,18,48,9,35,9,17,13656,1,633,14290,25956,
30,VERACRUZ,210,TATAHUICAPAN DE JUAREZ,8,22,22,526,1453,190,162,231,199,3017,233,139,19,3,10,26,80,9,3,5,21,19,9,18,4,9,6385,3,295,6683,11985,
30,VERACRUZ,3,ACAYUCAN,40,108,108,3862,1920,3639,1164,628,1248,20632,357,387,64,50,22,105,927,11,41,48,105,255,19,100,14,42,35640,12,894,36546,63282,
30,VERACRUZ,91,JALTIPAN,33,58,58,1802,1198,164,488,410,971,11915,350,155,28,8,1,93,508,22,8,4,54,112,5,65,3,20,18384,3,296,18683,28962,
30,VERACRUZ,121,OTEAPAN,6,16,16,529,463,126,194,142,282,3459,55,51,6,3,2,36,115,15,4,7,17,24,1,21,6,10,5568,1,79,5648,10326,
30,VERACRUZ,131,PLAYA VICENTE,24,57,57,2312,1108,189,2289,459,655,6781,410,138,66,8,3,66,387,23,18,14,138,211,19,55,8,25,15382,3,626,16011,29687,
30,VERACRUZ,143,SAN JUAN EVANGELISTA,27,51,51,1074,669,109,4121,232,307,5829,131,69,36,2,4,39,288,9,23,29,56,282,10,28,3,13,13363,2,540,13905,24147,
30,VERACRUZ,145,SAYULA DE ALEMAN,19,44,44,1122,626,229,699,248,403,8270,155,90,18,9,2,48,253,10,8,18,44,118,15,43,4,22,12454,1,321,12776,23125,
