CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PAN_PRI_1,C_PAN_PRD_1,C_PAN_PRD_PUP,C_PAN_PRD_2,C_PAN_PUP,C_PRD_PUP,C_PAN_PRD_NAO,C_PAN_PRD_3,C_PAN_NAO,C_PRD_NAO,C_PRI_PRD_1,C_PRD_PUP_1,C_PRD_NAO_1,C_PVEM_MORENA_NAO_FXMO,C_PVEM_MORENA_NAO,C_PVEM_MORENA_FXMO,C_PVEM_NAO_FXMO,C_MORENA_NAO_FXMO,C_PVEM_MORENA,C_PVEM_NAO,C_PVEM_FXMO,C_MORENA_NAO,C_MORENA_FXMO,C_NAO_FXMO,C_PVEM_MORENA_NAO_1,C_PVEM_MORENA_1,C_PVEM_NAO_1,C_MORENA_NAO_1,C_PVEM_MORENA_2,C_PVEM_MORENA_FXMO_1,C_PVEM_MORENA_3,C_PVEM_FXMO_1,C_MORENA_FXMO_1,C_PVEM_NAO_2,C_PVEM_FXMO_2,C_PT_PUP_NAO,C_PT_PUP,C_PT_NAO,C_PUP_NAO,C_PT_PUP_1,C_PT_NAO_1,C_MORENA_NAO_FXMO_1,C_MORENA_NAO_2,C_MORENA_FXMO_2,C_NAO_FXMO_1,C_MORENA_NAO_3,C_MORENA_FXMO_3,C_PUP_NAO_FXMO,C_PUP_NAO_1,C_PUP_FXMO,C_NAO_FXMO_2,C_PUP_NAO_2,C_PUP_FXMO_1,C_NAO_FXMO_3,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,32,1,1,0,90,3,4,16,1,152,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,11,283,397
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,33,3,3,0,36,4,93,206,18,524,5,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,77,981,1324
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,34,2,2,0,43,6,54,188,29,442,2,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,0,55,840,1177
3,20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,386,SANTA CRUZ XOXOCOTLAN,37,2,2,32,79,14,53,0,22,390,0,207,12,26,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,1,30,896,1305
3,20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,386,SANTA CRUZ XOXOCOTLAN,38,2,2,25,107,7,79,0,24,373,0,161,9,23,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,56,896,1395
3,20,OAXACA,6,HEROICA CIUDAD DE HUAJUAPAN DE LEON,5,ASUNCION CUYOTEPEJI,42,2,2,252,0,0,7,2,0,56,0,257,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,17,599,843
3,20,OAXACA,19,CIUDAD IXTEPEC,6,ASUNCION IXTALTEPEC,43,2,2,0,0,0,93,50,256,254,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,0,7,662,827
3,20,OAXACA,19,CIUDAD IXTEPEC,6,ASUNCION IXTALTEPEC,44,2,2,0,0,0,116,36,218,271,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,16,664,920
3,20,OAXACA,19,CIUDAD IXTEPEC,6,ASUNCION IXTALTEPEC,45,2,2,0,0,0,70,155,209,147,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0,13,598,782
3,20,OAXACA,19,CIUDAD IXTEPEC,6,ASUNCION IXTALTEPEC,46,2,2,0,0,0,212,90,187,250,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,0,21,769,1023
3,20,OAXACA,19,CIUDAD IXTEPEC,6,ASUNCION IXTALTEPEC,47,2,2,0,0,0,188,90,338,323,0,1,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,0,25,987,1360
3,20,OAXACA,19,CIUDAD IXTEPEC,6,ASUNCION IXTALTEPEC,48,2,2,0,0,0,102,104,153,202,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,12,579,821
3,20,OAXACA,19,CIUDAD IXTEPEC,6,ASUNCION IXTALTEPEC,49,2,2,0,0,0,86,69,206,388,0,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,0,16,776,1049
