CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,8,E01C08,0,259,17,3,22,16,110,9,7,10,3,0,1,12,1,0,0,470,0,9,479,702,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,9,E01C09,0,227,35,4,33,14,103,6,9,6,0,0,0,17,3,0,0,457,0,7,464,702,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,10,E01C10,0,274,21,4,14,9,92,10,13,5,1,1,0,9,2,0,0,455,0,8,463,702,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,11,E01C11,0,248,14,6,27,11,113,5,13,13,0,0,2,14,2,0,0,468,0,12,480,702,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,12,E01C12,0,261,9,4,32,11,112,11,6,4,2,0,1,12,5,0,0,470,2,6,478,701,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,13,E01C13,0,258,22,7,19,13,103,0,10,5,1,0,2,14,2,0,0,456,1,5,462,701,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,553,E,1,14,E01C14,0,276,9,1,26,17,111,8,7,11,2,0,1,26,0,3,0,498,0,7,505,701,ACTA CASILLA,,,
5,22,QUERETARO,5,QUERETARO,14,QUERETARO,554,B,1,0,B,0,125,36,2,27,16,136,8,6,11,1,1,2,0,0,0,0,371,0,12,383,745,ACTA CASILLA,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,10,EL MARQUES,555,B,1,0,B,0,138,7,5,17,18,110,12,3,4,1,0,1,0,4,0,0,320,1,12,333,536,GRUPO DE RECUENTO,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,10,EL MARQUES,555,C,1,0,C01,0,144,11,10,14,18,141,10,4,2,1,0,0,0,1,0,0,356,0,11,367,536,GRUPO DE RECUENTO,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,10,EL MARQUES,555,C,2,0,C02,0,148,13,7,10,15,116,8,3,5,2,1,2,0,2,0,0,332,0,17,349,535,GRUPO DE RECUENTO,,,
5,22,QUERETARO,15,JALPAN DE SERRA,15,SAN JOAQUIN,556,B,1,0,B,0,75,43,9,5,81,94,3,26,7,3,1,0,4,2,0,0,353,0,28,381,575,GRUPO DE RECUENTO,,,
5,22,QUERETARO,15,JALPAN DE SERRA,15,SAN JOAQUIN,556,C,1,0,C01,0,75,67,8,11,86,91,4,22,4,2,1,0,5,1,0,0,377,0,24,401,575,GRUPO DE RECUENTO,,,
5,22,QUERETARO,15,JALPAN DE SERRA,15,SAN JOAQUIN,557,B,1,0,B,0,84,35,6,10,108,121,5,15,5,5,0,0,6,0,0,0,400,0,22,422,616,GRUPO DE RECUENTO,,,
5,22,QUERETARO,15,JALPAN DE SERRA,15,SAN JOAQUIN,557,C,1,0,C01,0,82,66,6,7,95,98,5,19,3,5,1,0,3,0,0,0,390,1,25,416,616,GRUPO DE RECUENTO,,,
5,22,QUERETARO,15,JALPAN DE SERRA,15,SAN JOAQUIN,557,C,2,0,C02,0,96,43,3,12,109,99,7,16,2,3,4,1,4,0,0,0,399,0,30,429,615,GRUPO DE RECUENTO,,,
5,22,QUERETARO,15,JALPAN DE SERRA,15,SAN JOAQUIN,557,C,3,0,C03,0,73,34,4,10,136,97,4,11,3,5,1,0,5,0,0,0,383,0,25,408,615,GRUPO DE RECUENTO,,,
5,22,QUERETARO,15,JALPAN DE SERRA,15,SAN JOAQUIN,557,E,1,0,E01,0,36,16,2,3,96,144,9,11,5,8,2,2,1,1,1,0,337,0,14,351,544,GRUPO DE RECUENTO,,,
5,22,QUERETARO,15,JALPAN DE SERRA,15,SAN JOAQUIN,558,B,1,0,B,0,13,23,2,3,114,40,7,3,0,3,0,0,0,1,0,0,209,0,24,233,492,GRUPO DE RECUENTO,,,
5,22,QUERETARO,15,JALPAN DE SERRA,15,SAN JOAQUIN,558,C,1,0,C01,0,20,14,3,1,123,41,8,5,0,1,0,0,0,0,0,0,216,0,37,253,491,GRUPO DE RECUENTO,,,
5,22,QUERETARO,15,JALPAN DE SERRA,15,SAN JOAQUIN,558,E,1,0,E01,0,30,13,5,4,56,100,5,3,5,4,1,1,0,0,0,0,227,0,23,250,496,GRUPO DE RECUENTO,,,
