CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,393,B,1,0,B,0,23,21,36,15,6,32,129,2,2,4,0,3,11,0,1,3,288,0,11,299,629,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,393,C,1,0,C01,0,29,25,32,13,12,34,132,6,3,7,0,2,6,0,1,1,303,0,9,312,629,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,393,C,2,0,C02,0,27,12,31,15,13,49,135,7,4,2,0,5,5,0,0,0,305,0,7,312,629,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,394,B,1,0,B,0,29,13,21,22,9,88,160,4,6,6,0,0,6,0,2,0,366,0,5,371,632,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,394,C,1,0,C01,0,31,18,25,21,11,58,164,4,4,7,0,1,7,0,5,0,356,0,8,364,631,ACTA DEL CONSEJO,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,394,C,2,0,C02,0,28,19,31,14,11,56,145,7,5,5,0,4,7,1,1,0,334,0,11,345,631,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,394,C,3,0,C03,0,48,27,28,18,6,67,152,6,5,8,0,3,5,0,3,0,376,0,11,387,631,ACTA DEL CONSEJO,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,395,B,1,0,B,0,42,25,37,22,15,53,151,10,7,10,0,4,2,1,2,2,383,0,12,395,686,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,395,C,1,0,C01,0,57,31,41,20,9,63,132,13,5,15,0,5,12,0,2,2,407,0,10,417,686,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,395,C,2,0,C02,0,36,34,37,17,14,73,166,8,6,3,0,1,4,1,1,2,403,1,4,408,685,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,396,B,1,0,B,0,20,26,85,17,7,60,114,4,7,13,0,1,8,0,2,1,365,0,14,379,679,ACTA DEL CONSEJO,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,396,C,1,0,C01,0,47,19,90,20,16,60,108,4,4,9,0,1,7,0,0,1,386,0,7,393,679,ACTA DEL CONSEJO,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,396,C,2,0,C02,0,27,27,84,14,12,60,119,3,5,9,0,0,3,1,0,1,365,0,9,374,679,ACTA CASILLA,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,397,B,1,0,B,0,19,10,62,16,8,37,139,4,5,3,0,1,5,3,2,1,315,0,12,327,669,ACTA DEL CONSEJO,,,
5,6,COLIMA,11,MANZANILLO,8,MANZANILLO,397,C,1,0,C01,0,21,18,63,15,9,57,121,7,2,4,0,5,12,0,5,1,340,0,10,350,668,ACTA DEL CONSEJO,,,
