CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,PAN,PRI,PRD,PT,PVEM,MC,PRS,MORENA,PHBCS,NABCS,FXMBCS,MLBCS,PESBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,25,B,1,0,B,0,24,119,0,0,0,0,0,75,0,0,0,0,7,14,0,239,0,17,256,466,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,25,C,1,0,C01,0,25,107,0,0,0,0,0,71,0,0,0,0,11,5,0,219,2,12,233,465,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,26,B,1,0,B,0,23,121,0,0,0,0,0,76,0,0,0,0,9,9,0,238,0,11,249,472,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,26,C,1,0,C01,0,23,99,0,0,0,0,0,70,0,0,0,0,7,15,0,214,1,6,221,471,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,27,B,1,0,B,0,24,136,0,0,0,0,0,79,0,0,0,0,6,14,0,259,0,5,264,489,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,27,C,1,0,C01,0,17,118,0,0,0,0,0,61,0,0,0,0,4,14,0,214,0,10,224,488,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,28,B,1,0,B,0,24,163,0,0,0,0,0,74,0,0,0,0,5,15,0,281,0,20,301,720,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,28,C,1,0,C01,0,25,174,0,0,0,0,0,51,0,0,0,0,6,21,0,277,0,13,290,720,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,28,C,2,0,C02,0,37,173,0,0,0,0,0,75,0,0,0,0,4,14,0,303,0,10,313,720,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,28,C,3,0,C03,0,26,165,0,0,0,0,0,71,0,0,0,0,6,14,0,282,1,17,300,720,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,28,C,4,0,C04,0,29,163,0,0,0,0,0,42,0,0,0,0,6,27,0,267,0,12,279,719,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,29,B,1,0,B,0,33,133,0,0,0,0,0,63,0,0,0,0,16,12,0,257,0,12,269,565,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,29,C,1,0,C01,0,37,160,0,0,0,0,0,52,0,0,0,0,7,6,0,262,0,15,277,565,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,29,C,2,0,C02,0,42,143,0,0,0,0,0,56,0,0,0,0,5,7,0,253,0,8,261,564,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,30,B,1,0,B,0,36,154,0,0,0,0,0,60,0,0,0,0,7,7,0,264,0,12,276,659,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,30,C,1,0,C01,0,31,163,0,0,0,0,0,59,0,0,0,0,8,11,0,272,0,15,287,659,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,30,C,2,0,C02,0,41,161,0,0,0,0,0,68,0,0,0,0,9,7,0,286,0,12,298,659,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,31,B,1,0,B,0,35,144,0,0,0,0,0,68,0,0,0,0,8,11,0,266,0,3,269,496,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,31,C,1,0,C01,0,31,124,0,0,0,0,0,68,0,0,0,0,13,16,0,252,0,11,263,495,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,32,B,1,0,B,0,43,164,0,0,0,0,0,74,0,0,0,0,8,21,0,310,0,9,319,597,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,32,C,1,0,C01,0,34,137,0,0,0,0,0,62,0,0,0,0,9,15,0,257,0,10,267,596,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,33,B,1,0,B,0,29,97,0,0,0,0,0,41,0,0,0,0,5,10,0,182,0,5,187,338,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,34,B,1,0,B,0,41,259,0,0,0,0,0,66,0,0,0,0,18,19,0,403,0,31,434,736,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,35,B,1,0,B,0,2,57,0,0,0,0,0,25,0,0,0,0,3,0,0,87,0,1,88,152,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,36,B,1,0,B,0,11,47,0,0,0,0,0,6,0,0,0,0,4,9,0,77,0,11,88,224,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,36,E,1,0,E01,0,12,58,0,0,0,0,0,10,0,0,0,0,5,7,0,92,0,9,101,190,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,37,B,1,0,B,0,28,79,0,0,0,0,0,19,0,0,0,0,10,25,0,161,0,13,174,265,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,38,B,1,0,B,0,16,130,0,0,0,0,0,37,0,0,0,0,4,7,0,194,0,5,199,321,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,39,B,1,0,B,0,7,43,0,0,0,0,0,41,0,0,0,0,2,5,0,98,0,9,107,193,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,40,B,1,0,B,0,74,189,0,0,0,0,0,46,0,0,0,0,12,16,0,337,0,15,352,706,Grupo de recuento,,,
