CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,PVEM_MORENA_FXM_BC,PVEM_MORENA,PVEM_FXM_BC,MORENA_FXM_BC,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,41,2,2,0,27,18,20,28,47,196,66,29,0,0,0,0,0,431,1,28,460,1041
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,42,2,2,0,29,7,32,36,61,194,97,53,0,0,0,0,0,509,0,34,543,1092
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,43,2,2,0,22,8,12,13,15,93,41,15,0,0,0,0,0,219,0,37,256,956
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,44,1,1,0,26,6,5,21,20,129,47,20,0,0,0,0,0,274,0,18,292,621
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,45,1,1,0,12,5,16,19,13,14,37,22,0,0,0,0,0,138,0,15,153,605
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,46,2,2,0,35,4,10,12,37,97,48,27,0,0,0,0,0,270,2,10,282,768
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,47,2,2,0,25,11,14,19,29,136,54,28,0,0,0,0,0,316,0,34,350,987
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,48,3,3,0,49,14,17,35,43,220,79,45,0,0,0,0,0,502,0,37,539,1661
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,49,1,1,0,4,3,3,11,10,41,7,14,0,0,0,0,0,93,1,4,98,314
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,50,1,1,0,14,4,7,9,10,60,13,17,0,0,0,0,0,134,0,23,157,371
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,51,1,1,0,9,3,8,10,12,100,20,5,0,0,0,0,0,167,0,18,185,448
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,52,2,2,0,20,8,5,25,35,134,60,21,0,0,0,0,0,308,0,21,329,774
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,53,1,1,0,8,0,8,16,16,85,34,18,0,0,0,0,0,185,0,16,201,502
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,54,2,2,0,25,17,10,11,30,137,62,32,0,0,0,0,0,324,7,18,349,914
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,55,1,1,0,23,1,9,13,21,98,50,26,0,0,0,0,0,241,0,12,253,607
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,56,2,2,0,33,9,19,43,41,205,50,38,0,0,0,0,0,438,0,50,488,1215
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,57,2,2,0,13,2,21,26,21,219,62,44,0,0,0,0,0,408,0,42,450,1081
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,58,2,2,0,32,12,23,40,36,269,95,37,0,0,0,0,0,544,0,48,592,1299
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,59,3,3,85,35,13,23,66,35,275,90,45,0,0,0,0,0,667,2,63,732,1605
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,60,3,3,147,61,21,28,74,66,346,152,48,0,0,0,0,0,943,4,49,996,1979
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,61,4,4,131,43,24,34,83,54,507,120,59,0,0,0,0,0,1055,7,65,1127,2199
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,62,4,4,62,41,25,42,72,57,492,116,51,0,0,0,0,0,958,11,62,1031,2289
1,2,BAJA CALIFORNIA,16,ENSENADA,1,ENSENADA,63,2,2,64,19,10,14,24,36,164,63,32,0,0,0,0,0,426,1,17,444,795
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,64,2,2,0,25,9,7,14,24,121,47,28,0,0,0,0,0,275,2,17,294,757
1,2,BAJA CALIFORNIA,15,PLAYAS DE ROSARITO,1,ENSENADA,65,2,2,0,32,12,16,32,48,201,92,63,0,0,0,0,0,496,4,35,535,1170
